,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
0,0.0,0.0,0.0,0.0,0.0,0.0,2023-08-16 00:00:00+05:30,795.0,822.9000244140625,795.0,818.0999755859375,7337822,0.0,0.0
1,1.0,1.0,1.0,1.0,1.0,1.0,2023-08-17 00:00:00+05:30,819.8499755859375,836.4500122070312,819.0,822.2000122070312,3958662,0.0,0.0
2,2.0,2.0,2.0,2.0,2.0,2.0,2023-08-18 00:00:00+05:30,824.9000244140625,894.0,824.75,871.9000244140625,7798779,0.0,0.0
3,3.0,3.0,3.0,3.0,3.0,3.0,2023-08-21 00:00:00+05:30,879.0,932.0,878.0,923.5499877929688,8978809,0.0,0.0
4,4.0,4.0,4.0,4.0,4.0,4.0,2023-08-22 00:00:00+05:30,945.0999755859376,976.9500122070312,923.8499755859376,960.1500244140624,11493000,0.0,0.0
5,5.0,5.0,5.0,5.0,5.0,5.0,2023-08-23 00:00:00+05:30,965.0,969.7000122070312,859.0,890.4000244140625,4192309,0.0,0.0
6,6.0,6.0,6.0,6.0,6.0,6.0,2023-08-24 00:00:00+05:30,907.9500122070312,934.0,892.0499877929688,895.1500244140625,1134578,0.0,0.0
7,7.0,7.0,7.0,7.0,7.0,7.0,2023-08-25 00:00:00+05:30,895.1500244140625,898.8499755859375,865.0,874.5499877929688,983333,0.0,0.0
8,8.0,8.0,8.0,8.0,8.0,8.0,2023-08-28 00:00:00+05:30,895.0,899.0,860.0,864.9500122070312,995290,0.0,0.0
9,9.0,9.0,9.0,9.0,9.0,9.0,2023-08-29 00:00:00+05:30,869.0999755859375,875.0999755859375,852.5999755859375,857.1500244140625,1218219,0.0,0.0
10,10.0,10.0,10.0,10.0,10.0,10.0,2023-08-30 00:00:00+05:30,861.8499755859375,864.8499755859375,840.0,841.7000122070312,857053,0.0,0.0
11,11.0,11.0,11.0,11.0,11.0,11.0,2023-08-31 00:00:00+05:30,820.0,830.75,800.0999755859375,811.9500122070312,1636383,0.0,0.0
12,12.0,12.0,12.0,12.0,12.0,12.0,2023-09-01 00:00:00+05:30,803.8499755859375,835.8499755859375,791.0499877929688,824.9000244140625,1204025,0.0,0.0
13,13.0,13.0,13.0,13.0,13.0,13.0,2023-09-04 00:00:00+05:30,830.0,834.9000244140625,815.0,817.5999755859375,825805,0.0,0.0
14,14.0,14.0,14.0,14.0,14.0,14.0,2023-09-05 00:00:00+05:30,821.6500244140625,825.8499755859375,811.5,813.4500122070312,684436,0.0,0.0
15,15.0,15.0,15.0,15.0,15.0,15.0,2023-09-06 00:00:00+05:30,815.0499877929688,859.4500122070312,809.0,855.9500122070312,8646350,0.0,0.0
16,16.0,16.0,16.0,16.0,16.0,16.0,2023-09-07 00:00:00+05:30,858.9000244140625,858.9000244140625,833.0999755859375,839.4000244140625,6099751,0.0,0.0
17,17.0,17.0,17.0,17.0,17.0,17.0,2023-09-08 00:00:00+05:30,843.7999877929688,846.0,831.0,833.0,937304,0.0,0.0
18,18.0,18.0,18.0,18.0,18.0,18.0,2023-09-11 00:00:00+05:30,843.4000244140625,877.0,838.0,874.9000244140625,6691473,0.0,0.0
19,19.0,19.0,19.0,19.0,19.0,19.0,2023-09-12 00:00:00+05:30,880.0,888.75,834.2000122070312,852.2999877929688,5946118,0.0,0.0
20,20.0,20.0,20.0,20.0,20.0,20.0,2023-09-13 00:00:00+05:30,852.2999877929688,854.9000244140625,832.0,836.9000244140625,703403,0.0,0.0
21,21.0,21.0,21.0,21.0,21.0,21.0,2023-09-14 00:00:00+05:30,840.9000244140625,855.0999755859375,835.0,851.75,4528205,0.0,0.0
22,22.0,22.0,22.0,22.0,22.0,22.0,2023-09-15 00:00:00+05:30,853.2000122070312,859.9000244140625,839.0499877929688,846.0999755859375,7152425,0.0,0.0
23,23.0,23.0,23.0,23.0,23.0,23.0,2023-09-18 00:00:00+05:30,873.8499755859375,873.8499755859375,846.2000122070312,855.0999755859375,6408916,0.0,0.0
24,24.0,24.0,24.0,24.0,24.0,24.0,2023-09-20 00:00:00+05:30,859.0,860.0,843.9500122070312,855.2000122070312,4608210,0.0,0.0
25,25.0,25.0,25.0,25.0,25.0,25.0,2023-09-21 00:00:00+05:30,853.5,857.0,844.6500244140625,847.3499755859375,771656,0.0,0.0
26,26.0,26.0,26.0,26.0,26.0,26.0,2023-09-22 00:00:00+05:30,855.0,858.0,835.0,839.0999755859375,543417,0.0,0.0
27,27.0,27.0,27.0,27.0,27.0,27.0,2023-09-25 00:00:00+05:30,838.0,844.0,827.5999755859375,830.4000244140625,404295,0.0,0.0
28,28.0,28.0,28.0,28.0,28.0,28.0,2023-09-26 00:00:00+05:30,825.0,837.25,811.6500244140625,817.8499755859375,584558,0.0,0.0
29,29.0,29.0,29.0,29.0,29.0,29.0,2023-09-27 00:00:00+05:30,822.5999755859375,822.75,812.5499877929688,816.2000122070312,443309,0.0,0.0
