,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
0,0.0,0.0,0.0,0.0,0.0,0.0,2021-03-24 00:00:00+05:30,516.9443167729318,545.7242096208776,499.2986213446249,523.704345703125,16135816,0.0,0.0
1,1.0,1.0,1.0,1.0,1.0,1.0,2021-03-25 00:00:00+05:30,508.4943163285296,515.7514078280258,488.1147787239649,491.8427429199219,2119014,0.0,0.0
2,2.0,2.0,2.0,2.0,2.0,2.0,2021-03-26 00:00:00+05:30,499.050169001012,507.003159742064,488.1148067320655,492.7872009277344,925705,0.0,0.0
3,3.0,3.0,3.0,3.0,3.0,3.0,2021-03-30 00:00:00+05:30,494.0795411498068,501.48577578322823,472.2088169942822,477.4776611328125,529986,0.0,0.0
4,4.0,4.0,4.0,4.0,4.0,4.0,2021-03-31 00:00:00+05:30,475.091742382155,494.5765742912282,471.2146657568687,486.275634765625,527647,0.0,0.0
5,5.0,5.0,5.0,5.0,5.0,5.0,2021-04-01 00:00:00+05:30,492.1906821463677,516.7455209402757,489.9539036749939,513.9122924804688,695372,0.0,0.0
6,6.0,6.0,6.0,6.0,6.0,6.0,2021-04-05 00:00:00+05:30,521.9149547130321,554.820425682436,512.5204733928982,537.771240234375,1583749,0.0,0.0
7,7.0,7.0,7.0,7.0,7.0,7.0,2021-04-06 00:00:00+05:30,542.2945805399881,557.6041126755144,542.2945805399881,548.8557739257812,918972,0.0,0.0
8,8.0,8.0,8.0,8.0,8.0,8.0,2021-04-07 00:00:00+05:30,555.4666154737145,560.4372339567008,541.9465574705899,554.1245727539062,758597,0.0,0.0
9,9.0,9.0,9.0,9.0,9.0,9.0,2021-04-08 00:00:00+05:30,557.455028997358,559.0953578561856,545.3763982134797,549.4026489257812,386096,0.0,0.0
10,10.0,10.0,10.0,10.0,10.0,10.0,2021-04-09 00:00:00+05:30,551.9375495973107,555.5163710307144,545.8733579707356,551.9872436523438,229741,0.0,0.0
11,11.0,11.0,11.0,11.0,11.0,11.0,2021-04-12 00:00:00+05:30,544.7798437261947,582.5565482181571,513.315801108999,550.3966674804688,1187225,0.0,0.0
12,12.0,12.0,12.0,12.0,12.0,12.0,2021-04-13 00:00:00+05:30,555.814556789953,581.5623858351331,548.6569144285648,576.9894409179688,659160,0.0,0.0
13,13.0,13.0,13.0,13.0,13.0,13.0,2021-04-15 00:00:00+05:30,578.4806716517186,597.4187181735934,560.8846680081765,591.2054443359375,671215,0.0,0.0
14,14.0,14.0,14.0,14.0,14.0,14.0,2021-04-16 00:00:00+05:30,590.509541616988,603.4331511136561,569.9808607228337,576.5421142578125,465893,0.0,0.0
