,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
0,0.0,0.0,0.0,0.0,0.0,0.0,2002-09-27 00:00:00+05:30,16.093339972710872,17.840616357823308,15.311662758136686,17.173892974853516,460042,0.0,0.0
1,1.0,1.0,1.0,1.0,1.0,1.0,2002-09-30 00:00:00+05:30,17.127907801316983,18.162479817258177,16.645107690920984,16.989965438842773,890916,0.0,0.0
2,2.0,2.0,2.0,2.0,2.0,2.0,2002-10-01 00:00:00+05:30,16.599129025351107,17.012958621323293,15.748481278458591,16.162309646606445,429962,0.0,0.0
3,3.0,3.0,3.0,3.0,3.0,3.0,2002-10-02 00:00:00+05:30,16.162309646606445,16.162309646606445,16.162309646606445,16.162309646606445,0,0.0,0.0
4,4.0,4.0,4.0,4.0,4.0,4.0,2002-10-03 00:00:00+05:30,16.553149105834745,16.966977495828903,16.001377100626268,16.093339920043945,196099,0.0,0.0
5,5.0,5.0,5.0,5.0,5.0,5.0,2002-10-04 00:00:00+05:30,16.39221433994489,16.415205349838548,15.63352820299426,15.748480796813965,107924,0.0,0.0
6,6.0,6.0,6.0,6.0,6.0,6.0,2002-10-07 00:00:00+05:30,16.001375829809664,16.484175989067374,15.47259487840707,15.610538482666016,120937,0.0,0.0
7,7.0,7.0,7.0,7.0,7.0,7.0,2002-10-08 00:00:00+05:30,15.748480796813968,16.323242538088206,15.40362424317914,15.748480796813965,153986,0.0,0.0
8,8.0,8.0,8.0,8.0,8.0,8.0,2002-10-09 00:00:00+05:30,15.633529822083675,16.231282635157957,15.21970142373395,15.265682220458984,113892,0.0,0.0
9,9.0,9.0,9.0,9.0,9.0,9.0,2002-10-10 00:00:00+05:30,15.40362609532504,15.40362609532504,14.369053854374071,15.058768272399902,135172,0.0,0.0
10,10.0,10.0,10.0,10.0,10.0,10.0,2002-10-11 00:00:00+05:30,15.26568436434808,15.495589608085206,14.392045420406674,14.598960876464844,160496,0.0,0.0
11,11.0,11.0,11.0,11.0,11.0,11.0,2002-10-14 00:00:00+05:30,14.851853701196616,15.08175891077449,14.323072701427034,14.415034294128418,139896,0.0,0.0
12,12.0,12.0,12.0,12.0,12.0,12.0,2002-10-15 00:00:00+05:30,14.415034294128418,14.415034294128418,14.415034294128418,14.415034294128418,0,0.0,0.0
13,13.0,13.0,13.0,13.0,13.0,13.0,2002-10-16 00:00:00+05:30,14.943816281287054,15.334654917828605,14.621949457740952,14.713911056518556,168459,0.0,0.0
14,14.0,14.0,14.0,14.0,14.0,14.0,2002-10-17 00:00:00+05:30,14.85185196728407,14.920823767670049,14.59895700296784,14.736899375915527,96490,0.0,0.0
15,15.0,15.0,15.0,15.0,15.0,15.0,2002-10-18 00:00:00+05:30,14.897835481898252,15.127740706666753,14.621949457740952,14.713911056518556,115444,0.0,0.0
16,16.0,16.0,16.0,16.0,16.0,16.0,2002-10-21 00:00:00+05:30,14.713911676169143,14.805874506644091,14.300083236417782,14.461016654968262,39286,0.0,0.0
17,17.0,17.0,17.0,17.0,17.0,17.0,2002-10-22 00:00:00+05:30,14.323072511522314,14.713909889233427,14.047186509251626,14.093167304992676,72583,0.0,0.0
18,18.0,18.0,18.0,18.0,18.0,18.0,2002-10-23 00:00:00+05:30,14.00120684051778,14.25410185136217,13.633359217155624,13.72532081604004,71194,0.0,0.0
19,19.0,19.0,19.0,19.0,19.0,19.0,2002-10-24 00:00:00+05:30,14.36905308321334,15.817453651681918,12.874671719720672,13.38046169281006,260943,0.0,0.0
20,20.0,20.0,20.0,20.0,20.0,20.0,2002-10-25 00:00:00+05:30,13.33448084445899,13.33448084445899,12.529813865194456,12.690747261047363,92710,0.0,0.0
21,21.0,21.0,21.0,21.0,21.0,21.0,2002-10-28 00:00:00+05:30,12.644769381571605,13.28850311340179,12.207949888140456,12.299911499023438,59169,0.0,0.0
22,22.0,22.0,22.0,22.0,22.0,22.0,2002-10-29 00:00:00+05:30,12.874672629616477,12.874672629616477,12.09299537549007,12.39187240600586,72101,0.0,0.0
23,23.0,23.0,23.0,23.0,23.0,23.0,2002-10-30 00:00:00+05:30,12.253928783360276,12.82869183134277,12.184958199861946,12.39187240600586,85881,0.0,0.0
24,24.0,24.0,24.0,24.0,24.0,24.0,2002-10-31 00:00:00+05:30,12.506826965247129,12.690750187013094,12.0929972606244,12.299911499023438,41732,0.0,0.0
25,25.0,25.0,25.0,25.0,25.0,25.0,2002-11-01 00:00:00+05:30,12.368883362907608,12.368883362907608,11.84010225680608,12.001035690307615,29118,0.0,0.0
26,26.0,26.0,26.0,26.0,26.0,26.0,2002-11-04 00:00:00+05:30,12.184958637837555,12.230939437763997,12.001034210307294,12.115986824035645,16067,0.0,0.0
27,27.0,27.0,27.0,27.0,27.0,27.0,2002-11-05 00:00:00+05:30,12.16196736016622,12.184958373543012,11.909072352143903,12.024024963378906,29852,0.0,0.0
28,28.0,28.0,28.0,28.0,28.0,28.0,2002-11-06 00:00:00+05:30,12.024024963378906,12.024024963378906,12.024024963378906,12.024024963378906,0,0.0,0.0
29,29.0,29.0,29.0,29.0,29.0,29.0,2002-11-07 00:00:00+05:30,11.610196256362425,12.18495935902238,11.610196256362425,11.932063102722168,32341,0.0,0.0
30,30.0,30.0,30.0,30.0,30.0,30.0,2002-11-08 00:00:00+05:30,11.88608258165547,12.024026220691574,11.656177335145037,11.725149154663086,31347,0.0,0.0
31,31.0,31.0,31.0,31.0,31.0,31.0,2002-11-11 00:00:00+05:30,11.725146529992932,11.748137540627289,11.495241334946698,11.518232345581056,34473,0.0,0.0
32,32.0,32.0,32.0,32.0,32.0,32.0,2002-11-12 00:00:00+05:30,11.54122580292855,11.54122580292855,11.265339755950732,11.403282165527344,33058,0.0,0.0
33,33.0,33.0,33.0,33.0,33.0,33.0,2002-11-13 00:00:00+05:30,11.955053434218096,12.874673118054028,11.311319778315394,11.42627239227295,64093,0.0,0.0
34,34.0,34.0,34.0,34.0,34.0,34.0,2002-11-14 00:00:00+05:30,11.541225357657794,11.541225357657794,11.31132012274213,11.380291938781738,18120,0.0,0.0
35,35.0,35.0,35.0,35.0,35.0,35.0,2002-11-15 00:00:00+05:30,11.84010082026054,11.84010082026054,11.081414550400284,11.42627239227295,45770,0.0,0.0
36,36.0,36.0,36.0,36.0,36.0,36.0,2002-11-18 00:00:00+05:30,11.426271148026036,12.644766513205752,11.403280136608297,12.16196632385254,107504,0.0,0.0
37,37.0,37.0,37.0,37.0,37.0,37.0,2002-11-19 00:00:00+05:30,12.16196632385254,12.16196632385254,12.16196632385254,12.16196632385254,0,0.0,0.0
38,38.0,38.0,38.0,38.0,38.0,38.0,2002-11-20 00:00:00+05:30,12.23093612660831,12.713736236869163,11.95505017391294,12.52981185913086,128098,0.0,0.0
39,39.0,39.0,39.0,39.0,39.0,39.0,2002-11-21 00:00:00+05:30,12.874671457539367,13.54139481354803,12.64476625927635,13.28849983215332,207891,0.0,0.0
40,40.0,40.0,40.0,40.0,40.0,40.0,2002-11-22 00:00:00+05:30,13.702331944399637,13.978218012004785,13.15056103701403,13.35747528076172,158835,0.0,0.0
41,41.0,41.0,41.0,41.0,41.0,41.0,2002-11-25 00:00:00+05:30,13.242517973804247,13.702327105552454,12.9436409945173,13.127565383911133,68339,0.0,0.0
42,42.0,42.0,42.0,42.0,42.0,42.0,2002-11-26 00:00:00+05:30,12.920652514744766,13.702328485803074,12.920652514744766,13.38046169281006,98357,0.0,0.0
43,43.0,43.0,43.0,43.0,43.0,43.0,2002-11-27 00:00:00+05:30,13.56438361718653,13.56438361718653,12.897659141848877,12.966630935668944,55773,0.0,0.0
44,44.0,44.0,44.0,44.0,44.0,44.0,2002-11-28 00:00:00+05:30,13.334480795997608,13.472424407841268,13.104575594807748,13.311491012573242,73679,0.0,0.0
45,45.0,45.0,45.0,45.0,45.0,45.0,2002-11-29 00:00:00+05:30,13.334481682332344,14.323073130900305,13.150558491414689,14.139148712158203,249020,0.0,0.0
46,46.0,46.0,46.0,46.0,46.0,46.0,2002-12-02 00:00:00+05:30,14.897833558523256,15.86343390449836,14.32307179863074,15.63352870941162,362450,0.0,0.0
47,47.0,47.0,47.0,47.0,47.0,47.0,2002-12-03 00:00:00+05:30,15.633528501024518,15.6795092938641,12.874671108055164,13.95522403717041,329138,0.0,0.0
48,48.0,48.0,48.0,48.0,48.0,48.0,2002-12-04 00:00:00+05:30,13.610369288307194,13.97821694098785,12.989626604625698,13.196540832519531,215846,0.0,0.0
49,49.0,49.0,49.0,49.0,49.0,49.0,2002-12-05 00:00:00+05:30,13.518405927702103,14.024195924063392,13.449434118080315,13.81728172302246,216183,0.0,0.0
50,50.0,50.0,50.0,50.0,50.0,50.0,2002-12-06 00:00:00+05:30,13.978217476315702,14.185131712133789,13.702331419283375,13.932236671447754,271871,0.0,0.0
51,51.0,51.0,51.0,51.0,51.0,51.0,2002-12-09 00:00:00+05:30,14.047185495771847,15.173719207535497,13.725318720982232,14.231108665466309,510557,0.0,0.0
52,52.0,52.0,52.0,52.0,52.0,52.0,2002-12-10 00:00:00+05:30,13.978216399316825,14.598960286768412,13.794293194016015,14.461016654968262,185864,0.0,0.0
53,53.0,53.0,53.0,53.0,53.0,53.0,2002-12-11 00:00:00+05:30,14.69091957188332,14.94381455318928,14.07017578235588,14.20811939239502,206837,0.0,0.0
54,54.0,54.0,54.0,54.0,54.0,54.0,2002-12-12 00:00:00+05:30,14.943817827785296,14.943817827785296,14.04718907735258,14.300084114074709,129414,0.0,0.0
55,55.0,55.0,55.0,55.0,55.0,55.0,2002-12-13 00:00:00+05:30,14.024193877880355,14.461013228710687,14.024193877880355,14.18512725830078,83511,0.0,0.0
56,56.0,56.0,56.0,56.0,56.0,56.0,2002-12-16 00:00:00+05:30,14.300083602773997,14.690922265787991,13.97821675742708,14.11616039276123,196642,0.0,0.0
57,57.0,57.0,57.0,57.0,57.0,57.0,2002-12-17 00:00:00+05:30,14.323073121004326,14.484006526858307,13.794292105744738,13.840272903442385,136003,0.0,0.0
58,58.0,58.0,58.0,58.0,58.0,58.0,2002-12-18 00:00:00+05:30,13.840271163972812,14.20811872714669,13.656346768473725,13.771299362182615,102737,0.0,0.0
59,59.0,59.0,59.0,59.0,59.0,59.0,2002-12-19 00:00:00+05:30,13.702328699457167,14.208119908257494,13.380461901445427,14.093167304992676,140848,0.0,0.0
60,60.0,60.0,60.0,60.0,60.0,60.0,2002-12-20 00:00:00+05:30,14.484007640330876,15.955398191067925,14.43802683909841,14.851855278015137,587517,0.0,0.0
61,61.0,61.0,61.0,61.0,61.0,61.0,2002-12-23 00:00:00+05:30,14.805872731673311,14.989795914924878,14.277091738088464,14.392043113708496,166033,0.0,0.0
62,62.0,62.0,62.0,62.0,62.0,62.0,2002-12-24 00:00:00+05:30,14.48400519638078,16.783053464847267,14.116157620765062,16.55314826965332,1172122,0.0,0.0
63,63.0,63.0,63.0,63.0,63.0,63.0,2002-12-25 00:00:00+05:30,16.55314826965332,16.55314826965332,16.55314826965332,16.55314826965332,0,0.0,0.0
64,64.0,64.0,64.0,64.0,64.0,64.0,2002-12-26 00:00:00+05:30,16.32324372776438,16.737073341241054,15.955396137426302,16.070348739624023,433706,0.0,0.0
65,65.0,65.0,65.0,65.0,65.0,65.0,2002-12-27 00:00:00+05:30,17.334825434099425,17.334825434099425,15.518576111868253,15.63352870941162,191681,0.0,0.0
66,66.0,66.0,66.0,66.0,66.0,66.0,2002-12-30 00:00:00+05:30,15.449606373802435,17.564730354316207,15.12773957434822,17.173892974853516,461839,0.0,0.0
67,67.0,67.0,67.0,67.0,67.0,67.0,2002-12-31 00:00:00+05:30,17.219872786782005,18.507339911027387,17.150900982890477,17.702672958374023,867809,0.0,0.0
68,68.0,68.0,68.0,68.0,68.0,68.0,2003-01-01 00:00:00+05:30,17.978563994453317,18.737249138999744,17.771648524677374,18.093515396118164,661872,0.0,0.0
69,69.0,69.0,69.0,69.0,69.0,69.0,2003-01-02 00:00:00+05:30,18.254446590291252,18.62229545061774,17.242865293954726,17.449779510498047,420148,0.0,0.0
70,70.0,70.0,70.0,70.0,70.0,70.0,2003-01-03 00:00:00+05:30,17.79463735661993,17.978561786783175,17.311837108744005,17.449779510498047,201597,0.0,0.0
71,71.0,71.0,71.0,71.0,71.0,71.0,2003-01-06 00:00:00+05:30,17.5647300086515,18.162482799849357,17.01295924032026,17.127910614013672,415368,0.0,0.0
72,72.0,72.0,72.0,72.0,72.0,72.0,2003-01-07 00:00:00+05:30,17.472767337707786,17.702672526521503,16.875014583486706,17.05893898010254,286104,0.0,0.0
73,73.0,73.0,73.0,73.0,73.0,73.0,2003-01-08 00:00:00+05:30,17.472767966820015,18.1165015364168,17.150901182021624,17.93257713317871,474817,0.0,0.0
74,74.0,74.0,74.0,74.0,74.0,74.0,2003-01-09 00:00:00+05:30,17.840615208255038,18.346406386731235,17.840615208255038,18.070520401000977,500420,0.0,0.0
75,75.0,75.0,75.0,75.0,75.0,75.0,2003-01-10 00:00:00+05:30,14.484006271177169,18.254445121894733,14.484006271177169,17.03594970703125,331751,0.0,0.0
76,76.0,76.0,76.0,76.0,76.0,76.0,2003-01-13 00:00:00+05:30,17.932575352457867,17.932575352457867,16.64510834111093,16.806041717529297,205263,0.0,0.0
77,77.0,77.0,77.0,77.0,77.0,77.0,2003-01-14 00:00:00+05:30,16.829035684663623,17.610711695619816,16.829035684663623,17.357816696166992,315018,0.0,0.0
78,78.0,78.0,78.0,78.0,78.0,78.0,2003-01-15 00:00:00+05:30,17.4267907723126,18.001552655928926,17.17389573997335,17.311838150024414,260713,0.0,0.0
79,79.0,79.0,79.0,79.0,79.0,79.0,2003-01-16 00:00:00+05:30,17.932579937043048,20.66844926342298,17.72566571843816,20.254619598388672,2942766,0.0,0.0
80,80.0,80.0,80.0,80.0,80.0,80.0,2003-01-17 00:00:00+05:30,20.69143657506709,21.726008772167763,20.024711970134028,20.369569778442383,2410045,0.0,0.0
81,81.0,81.0,81.0,81.0,81.0,81.0,2003-01-20 00:00:00+05:30,19.771819655104856,20.231630128377383,18.208466256062454,18.415380477905273,976018,0.0,0.0
82,82.0,82.0,82.0,82.0,82.0,82.0,2003-01-21 00:00:00+05:30,16.599128164062385,18.829205735441622,16.599128164062385,17.472766876220703,699197,0.0,0.0
83,83.0,83.0,83.0,83.0,83.0,83.0,2003-01-22 00:00:00+05:30,17.426782937218377,18.139488138277592,17.05893544797544,17.380802154541016,479425,0.0,0.0
84,84.0,84.0,84.0,84.0,84.0,84.0,2003-01-23 00:00:00+05:30,17.035947233114832,17.587719171268326,16.691090692637083,16.760061264038086,295001,0.0,0.0
85,85.0,85.0,85.0,85.0,85.0,85.0,2003-01-24 00:00:00+05:30,16.82903506565053,17.058940271873585,15.173720282058197,15.40362548828125,451652,0.0,0.0
86,86.0,86.0,86.0,86.0,86.0,86.0,2003-01-27 00:00:00+05:30,15.17372095845558,15.403626174927096,13.81728190022786,14.139148712158203,405997,0.0,0.0
87,87.0,87.0,87.0,87.0,87.0,87.0,2003-01-28 00:00:00+05:30,14.621949605933391,15.357644859259418,13.909244138622524,15.127740859985352,423607,0.0,0.0
88,88.0,88.0,88.0,88.0,88.0,88.0,2003-01-29 00:00:00+05:30,15.472594487285066,15.495585496688484,14.59895700296784,14.736899375915527,301481,0.0,0.0
89,89.0,89.0,89.0,89.0,89.0,89.0,2003-01-30 00:00:00+05:30,14.989798999294695,15.173723448215796,14.529989718728917,14.805875778198242,222157,0.0,0.0
90,90.0,90.0,90.0,90.0,90.0,90.0,2003-01-31 00:00:00+05:30,14.75989210849523,14.943815293898,14.300081689339482,14.415034294128418,260561,0.0,0.0
91,91.0,91.0,91.0,91.0,91.0,91.0,2003-02-03 00:00:00+05:30,14.92082589071552,15.51857748636562,14.575968067540977,15.357644081115724,348499,0.0,0.0
92,92.0,92.0,92.0,92.0,92.0,92.0,2003-02-04 00:00:00+05:30,15.311665864038137,15.587551923507462,14.713912939825368,14.805875778198242,256697,0.0,0.0
93,93.0,93.0,93.0,93.0,93.0,93.0,2003-02-05 00:00:00+05:30,13.794290523529808,14.92082423529346,13.794290523529808,14.231108665466309,166488,0.0,0.0
94,94.0,94.0,94.0,94.0,94.0,94.0,2003-02-06 00:00:00+05:30,14.369055934207877,14.598961182768692,14.070178865513892,14.300084114074709,179960,0.0,0.0
95,95.0,95.0,95.0,95.0,95.0,95.0,2003-02-07 00:00:00+05:30,13.794289295079816,14.070174025052603,13.288498167814648,13.61036491394043,354236,0.0,0.0
96,96.0,96.0,96.0,96.0,96.0,96.0,2003-02-10 00:00:00+05:30,14.4840044115993,15.44960470570592,14.18512742847624,14.736899375915527,673442,0.0,0.0
97,97.0,97.0,97.0,97.0,97.0,97.0,2003-02-11 00:00:00+05:30,17.656691503035475,17.656691503035475,16.461186010253453,16.645109176635742,1618713,0.0,0.0
98,98.0,98.0,98.0,98.0,98.0,98.0,2003-02-12 00:00:00+05:30,16.714079307279235,16.714079307279235,15.334650785996212,15.54156494140625,724757,0.0,0.0
99,99.0,99.0,99.0,99.0,99.0,99.0,2003-02-13 00:00:00+05:30,15.541564941406248,15.541564941406248,15.541564941406248,15.54156494140625,0,0.0,0.0
100,100.0,100.0,100.0,100.0,100.0,100.0,2003-02-14 00:00:00+05:30,15.63353009409047,16.04735972746481,15.058768283290672,15.357644081115724,778286,0.0,0.0
101,101.0,101.0,101.0,101.0,101.0,101.0,2003-02-17 00:00:00+05:30,16.070348096440625,16.85202526897032,15.725491531474036,16.55314826965332,549424,0.0,0.0
102,102.0,102.0,102.0,102.0,102.0,102.0,2003-02-18 00:00:00+05:30,16.691095587804128,16.737076391498135,16.16231327576153,16.231285095214844,215126,0.0,0.0
103,103.0,103.0,103.0,103.0,103.0,103.0,2003-02-19 00:00:00+05:30,16.369223343822107,16.369223343822107,15.909413002645955,15.95539379119873,111393,0.0,0.0
104,104.0,104.0,104.0,104.0,104.0,104.0,2003-02-20 00:00:00+05:30,15.794462100407472,15.86343390449836,15.518576111868253,15.63352870941162,125609,0.0,0.0
105,105.0,105.0,105.0,105.0,105.0,105.0,2003-02-21 00:00:00+05:30,15.518576959062049,15.817453974556038,15.518576959062049,15.56455898284912,110742,0.0,0.0
106,106.0,106.0,106.0,106.0,106.0,106.0,2003-02-24 00:00:00+05:30,15.633533640313225,15.886429925803236,15.587552832358146,15.656524658203123,82833,0.0,0.0
107,107.0,107.0,107.0,107.0,107.0,107.0,2003-02-25 00:00:00+05:30,15.541568934323925,15.61054074645546,15.426616323379518,15.472597122192385,66179,0.0,0.0
108,108.0,108.0,108.0,108.0,108.0,108.0,2003-02-26 00:00:00+05:30,15.518575561920516,15.656519165213846,15.357642176627827,15.449604988098145,116158,0.0,0.0
109,109.0,109.0,109.0,109.0,109.0,109.0,2003-02-27 00:00:00+05:30,15.380635182314506,15.679510981859751,15.380635182314506,15.518577575683594,53804,0.0,0.0
110,110.0,110.0,110.0,110.0,110.0,110.0,2003-02-28 00:00:00+05:30,15.725492382630687,15.771473178593364,15.472596163099372,15.56455898284912,112099,0.0,0.0
111,111.0,111.0,111.0,111.0,111.0,111.0,2003-03-03 00:00:00+05:30,15.633529562880936,15.70250137073715,15.518576959062049,15.56455898284912,52074,0.0,0.0
112,112.0,112.0,112.0,112.0,112.0,112.0,2003-03-04 00:00:00+05:30,15.40362592345896,15.587549111374022,14.966806510424046,15.03577709197998,84242,0.0,0.0
113,113.0,113.0,113.0,113.0,113.0,113.0,2003-03-05 00:00:00+05:30,14.943813104853197,15.265679859983797,14.851851525622806,15.150727272033691,95942,0.0,0.0
114,114.0,114.0,114.0,114.0,114.0,114.0,2003-03-06 00:00:00+05:30,15.104747327653142,15.173719129847589,14.989794733270497,15.081757545471191,30618,0.0,0.0
115,115.0,115.0,115.0,115.0,115.0,115.0,2003-03-07 00:00:00+05:30,14.897835990247538,15.127741222860944,14.897835990247538,14.989797592163086,72765,0.0,0.0
116,116.0,116.0,116.0,116.0,116.0,116.0,2003-03-10 00:00:00+05:30,14.851854586812506,15.104749595733646,14.851854586812506,14.94381618499756,93615,0.0,0.0
117,117.0,117.0,117.0,117.0,117.0,117.0,2003-03-11 00:00:00+05:30,14.943816791205313,15.150731009427563,14.828864174898609,14.989797592163086,92254,0.0,0.0
118,118.0,118.0,118.0,118.0,118.0,118.0,2003-03-12 00:00:00+05:30,15.51857747514231,15.51857747514231,14.782882259624682,15.058768272399902,66536,0.0,0.0
119,119.0,119.0,119.0,119.0,119.0,119.0,2003-03-13 00:00:00+05:30,14.989796984090086,15.127740609192152,14.851854586812506,14.94381618499756,86469,0.0,0.0
120,120.0,120.0,120.0,120.0,120.0,120.0,2003-03-14 00:00:00+05:30,14.94381618499756,14.94381618499756,14.94381618499756,14.94381618499756,0,0.0,0.0
121,121.0,121.0,121.0,121.0,121.0,121.0,2003-03-17 00:00:00+05:30,14.943814448273134,14.989795242021914,14.805872067026794,14.874842643737791,55405,0.0,0.0
122,122.0,122.0,122.0,122.0,122.0,122.0,2003-03-18 00:00:00+05:30,14.874842643737791,14.874842643737791,14.874842643737791,14.874842643737791,0,0.0,0.0
123,123.0,123.0,123.0,123.0,123.0,123.0,2003-03-19 00:00:00+05:30,14.989796295001216,15.173720710740705,14.989796295001216,15.03577709197998,96265,0.0,0.0
124,124.0,124.0,124.0,124.0,124.0,124.0,2003-03-20 00:00:00+05:30,14.897833148894096,15.288671724230236,14.897833148894096,15.081757545471191,50076,0.0,0.0
125,125.0,125.0,125.0,125.0,125.0,125.0,2003-03-21 00:00:00+05:30,15.104746482418497,15.265679859983797,15.0587656928033,15.150727272033691,86486,0.0,0.0
126,126.0,126.0,126.0,126.0,126.0,126.0,2003-03-24 00:00:00+05:30,15.10474967956543,15.173721492499258,15.058768880217707,15.10474967956543,77421,0.0,0.0
127,127.0,127.0,127.0,127.0,127.0,127.0,2003-03-25 00:00:00+05:30,15.058766535464942,15.127738337659393,15.035775525458694,15.081757545471191,36289,0.0,0.0
128,128.0,128.0,128.0,128.0,128.0,128.0,2003-03-26 00:00:00+05:30,15.058768272399902,15.150729867383497,14.920825879924513,15.058768272399902,47279,0.0,0.0
129,129.0,129.0,129.0,129.0,129.0,129.0,2003-03-27 00:00:00+05:30,15.12773991376194,15.12773991376194,14.828862891663322,15.03577709197998,28044,0.0,0.0
130,130.0,130.0,130.0,130.0,130.0,130.0,2003-03-28 00:00:00+05:30,14.94381378093982,15.035775364330728,14.484004636160993,14.529985427856444,202374,0.0,0.0
131,131.0,131.0,131.0,131.0,131.0,131.0,2003-03-31 00:00:00+05:30,14.552977119547377,14.828863133748303,13.932234508463615,14.139148712158203,203176,0.0,0.0
132,132.0,132.0,132.0,132.0,132.0,132.0,2003-04-01 00:00:00+05:30,14.71391169051747,14.71391169051747,14.024197214317772,14.16214084625244,139868,0.0,0.0
133,133.0,133.0,133.0,133.0,133.0,133.0,2003-04-02 00:00:00+05:30,14.66792763038954,14.713908421544076,14.369051873972913,14.506994247436523,32967,0.0,0.0
134,134.0,134.0,134.0,134.0,134.0,134.0,2003-04-03 00:00:00+05:30,14.9208238234759,14.9208238234759,14.392041655638046,14.506994247436523,131541,0.0,0.0
135,135.0,135.0,135.0,135.0,135.0,135.0,2003-04-04 00:00:00+05:30,14.713912719325402,15.38063745537025,14.598961321775084,15.173723220825195,64339,0.0,0.0
136,136.0,136.0,136.0,136.0,136.0,136.0,2003-04-07 00:00:00+05:30,15.541567875320448,15.58754867100018,15.173720282058197,15.40362548828125,93804,0.0,0.0
137,137.0,137.0,137.0,137.0,137.0,137.0,2003-04-08 00:00:00+05:30,15.587551819897898,15.63353262486638,15.24269516872197,15.495590209960938,51328,0.0,0.0
138,138.0,138.0,138.0,138.0,138.0,138.0,2003-04-09 00:00:00+05:30,15.357646567230852,15.541571014929415,15.265684957293889,15.495590209960938,43579,0.0,0.0
139,139.0,139.0,139.0,139.0,139.0,139.0,2003-04-10 00:00:00+05:30,15.311663904221955,15.403626730824053,14.598959671958797,14.713911056518556,91842,0.0,0.0
140,140.0,140.0,140.0,140.0,140.0,140.0,2003-04-11 00:00:00+05:30,13.886253294358838,14.713910084320126,13.886253294358838,14.415034294128418,53393,0.0,0.0
141,141.0,141.0,141.0,141.0,141.0,141.0,2003-04-15 00:00:00+05:30,14.897834420868197,14.897834420868197,14.484006028017523,14.552976608276367,25341,0.0,0.0
142,142.0,142.0,142.0,142.0,142.0,142.0,2003-04-16 00:00:00+05:30,14.6219506641438,14.667931467326309,14.529989057778788,14.598960876464844,25806,0.0,0.0
143,143.0,143.0,143.0,143.0,143.0,143.0,2003-04-17 00:00:00+05:30,14.621946614912384,14.621946614912384,14.162137482596904,14.277090072631836,96007,0.0,0.0
144,144.0,144.0,144.0,144.0,144.0,144.0,2003-04-18 00:00:00+05:30,14.277090072631838,14.277090072631838,14.277090072631838,14.277090072631836,0,0.0,0.0
145,145.0,145.0,145.0,145.0,145.0,145.0,2003-04-21 00:00:00+05:30,14.552976512965817,14.897834323299096,14.323072533901357,14.392043113708496,179761,0.0,0.0
146,146.0,146.0,146.0,146.0,146.0,146.0,2003-04-22 00:00:00+05:30,14.529988637239876,14.713911844646644,14.415036018698366,14.484007835388184,112420,0.0,0.0
147,147.0,147.0,147.0,147.0,147.0,147.0,2003-04-23 00:00:00+05:30,14.59895722931177,14.621947011247354,14.438023844465537,14.529985427856444,96245,0.0,0.0
148,148.0,148.0,148.0,148.0,148.0,148.0,2003-04-24 00:00:00+05:30,14.484006300410368,15.288673317099832,14.484006300410368,15.03577709197998,68063,0.0,0.0
149,149.0,149.0,149.0,149.0,149.0,149.0,2003-04-25 00:00:00+05:30,15.10474967956543,15.403626717062355,14.897835468588436,15.10474967956543,87406,0.0,0.0
150,150.0,150.0,150.0,150.0,150.0,150.0,2003-04-28 00:00:00+05:30,15.173720880041614,15.219701677533411,14.96680667741631,15.058768272399902,46772,0.0,0.0
