,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Adj Close
0,0.0,0.0,0.0,0.0,0.0,2023-01-30 00:00:00+05:30,79.76260957263764,83.75074005126953,75.82433376769075,83.75074005126953,891200.0,0.0,0.0,0.0,
1,1.0,1.0,1.0,1.0,1.0,2023-01-31 00:00:00+05:30,83.75074314338573,86.59228469297094,79.56320902891864,82.90326690673828,259200.0,0.0,0.0,0.0,
2,2.0,2.0,2.0,2.0,2.0,2023-02-01 00:00:00+05:30,80.01186791843283,83.75074025106987,79.76260976292369,79.9620132446289,140800.0,0.0,0.0,0.0,
3,3.0,3.0,3.0,3.0,3.0,2023-02-02 00:00:00+05:30,77.81839977732139,79.76261036219785,75.97388332729133,77.07062530517578,129600.0,0.0,0.0,0.0,
4,4.0,4.0,4.0,4.0,4.0,2023-02-03 00:00:00+05:30,74.77744959515152,75.27596592578587,73.23204592748286,74.4284896850586,140800.0,0.0,0.0,0.0,
5,5.0,5.0,5.0,5.0,5.0,2023-02-06 00:00:00+05:30,73.78041711132141,73.78041711132141,70.78931912032189,72.53412628173828,65600.0,0.0,0.0,0.0,
6,6.0,6.0,6.0,6.0,6.0,2023-02-07 00:00:00+05:30,72.68368396821757,74.67774933027151,72.68368396821757,73.7804183959961,41600.0,0.0,0.0,0.0,
7,7.0,7.0,7.0,7.0,7.0,2023-02-08 00:00:00+05:30,74.07953159912456,77.46943664550781,72.33472439893966,77.46943664550781,91200.0,0.0,0.0,0.0,
8,8.0,8.0,8.0,8.0,8.0,2023-02-09 00:00:00+05:30,80.75964740642067,80.75964740642067,77.0207748413086,77.0207748413086,56000.0,0.0,0.0,0.0,
9,9.0,9.0,9.0,9.0,9.0,2023-02-10 00:00:00+05:30,78.26706117504531,80.85934448242188,78.21720650102152,80.85934448242188,56000.0,0.0,0.0,0.0,
10,10.0,10.0,10.0,10.0,10.0,2023-02-13 00:00:00+05:30,82.75371292305584,82.75371292305584,72.8830878120872,77.46943664550781,83200.0,0.0,0.0,0.0,
11,11.0,11.0,11.0,11.0,11.0,2023-02-14 00:00:00+05:30,76.47240207660609,76.47240207660609,74.07952977496566,74.4284896850586,33600.0,0.0,0.0,0.0,
12,12.0,12.0,12.0,12.0,12.0,2023-02-15 00:00:00+05:30,74.02967328720894,74.02967328720894,70.88901895973385,71.8362045288086,33600.0,0.0,0.0,0.0,
13,13.0,13.0,13.0,13.0,13.0,2023-02-16 00:00:00+05:30,73.78041891855736,73.78041891855736,71.88605528983786,72.78338623046875,22400.0,0.0,0.0,0.0,
14,14.0,14.0,14.0,14.0,14.0,2023-02-17 00:00:00+05:30,72.7833826525458,73.8801170341783,71.78635001346983,72.28486633300781,14400.0,0.0,0.0,0.0,
15,15.0,15.0,15.0,15.0,15.0,2023-02-20 00:00:00+05:30,71.78635387073864,71.78635387073864,67.39940850173123,68.5459976196289,25600.0,0.0,0.0,0.0,
16,16.0,16.0,16.0,16.0,16.0,2023-02-21 00:00:00+05:30,66.80119020884274,67.74836822134044,63.90979388740735,65.3056411743164,30400.0,0.0,0.0,0.0,
17,17.0,17.0,17.0,17.0,17.0,2023-02-22 00:00:00+05:30,65.80415391188401,66.40237197155008,63.36142319538855,64.80712127685547,19200.0,0.0,0.0,0.0,
18,18.0,18.0,18.0,18.0,18.0,2023-02-23 00:00:00+05:30,67.79821733115377,68.79524993896484,67.79821733115377,68.79524993896484,9600.0,0.0,0.0,0.0,
19,19.0,19.0,19.0,19.0,19.0,2023-02-24 00:00:00+05:30,68.79525181696965,68.79525181696965,64.80712127685547,64.80712127685547,17600.0,0.0,0.0,0.0,
20,20.0,20.0,20.0,20.0,20.0,2023-02-27 00:00:00+05:30,62.81305710345971,63.81008975589558,60.37032634431629,60.91869354248047,16000.0,0.0,0.0,0.0,
21,21.0,21.0,21.0,21.0,21.0,2023-02-28 00:00:00+05:30,62.81305670550489,63.810089351624015,62.81305670550489,63.31157302856445,6400.0,0.0,0.0,0.0,
22,22.0,22.0,22.0,22.0,22.0,2023-03-01 00:00:00+05:30,63.31157302856445,63.31157302856445,63.31157302856445,63.31157302856445,0.0,0.0,0.0,0.0,
23,23.0,23.0,23.0,23.0,23.0,2023-03-02 00:00:00+05:30,52.84272965651292,66.80118654691256,52.84272965651292,64.80712127685547,49600.0,0.0,0.0,0.0,
24,24.0,24.0,24.0,24.0,24.0,2023-03-03 00:00:00+05:30,69.49317100895237,69.49317100895237,64.8569753821587,67.69851684570312,9600.0,0.0,0.0,0.0,
25,25.0,25.0,25.0,25.0,25.0,2023-03-06 00:00:00+05:30,69.49317459634575,71.08843296614737,68.79525476462429,70.5400619506836,11200.0,0.0,0.0,0.0,
26,26.0,26.0,26.0,26.0,26.0,2023-03-08 00:00:00+05:30,70.78931561638328,70.78931561638328,67.7982177734375,67.7982177734375,3200.0,0.0,0.0,0.0,
27,27.0,27.0,27.0,27.0,27.0,2023-03-09 00:00:00+05:30,64.8071248294743,65.80415751915852,64.8071248294743,65.3056411743164,3200.0,0.0,0.0,0.0,
28,28.0,28.0,28.0,28.0,28.0,2023-03-10 00:00:00+05:30,64.80712189868483,64.80712189868483,60.91869306341266,61.91572570800781,22400.0,0.0,0.0,0.0,
29,29.0,29.0,29.0,29.0,29.0,2023-03-13 00:00:00+05:30,66.2029684872465,66.2029684872465,62.91275774895016,64.80712127685547,8000.0,0.0,0.0,0.0,
30,30.0,30.0,30.0,30.0,30.0,2023-03-14 00:00:00+05:30,62.31454161346936,62.31454161346936,59.82195994893058,60.818992614746094,25600.0,0.0,0.0,0.0,
