,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
0,0.0,0.0,0.0,0.0,0.0,0.0,2015-08-26 00:00:00+05:30,54.88324655679288,54.88324655679288,52.14153289794922,52.14153289794922,9735,0.0,0.0
1,1.0,1.0,1.0,1.0,1.0,1.0,2015-08-27 00:00:00+05:30,49.54669189453125,49.54669189453125,49.54669189453125,49.54669189453125,3099,0.0,0.0
2,2.0,2.0,2.0,2.0,2.0,2.0,2015-08-28 00:00:00+05:30,47.098731994628906,47.098731994628906,47.098731994628906,47.098731994628906,1832,0.0,0.0
3,3.0,3.0,3.0,3.0,3.0,3.0,2015-08-31 00:00:00+05:30,44.74869537353515,44.74869537353515,44.74869537353515,44.74869537353515,761,0.0,0.0
4,4.0,4.0,4.0,4.0,4.0,4.0,2015-09-01 00:00:00+05:30,42.5455322265625,42.5455322265625,42.5455322265625,42.5455322265625,1024,0.0,0.0
5,5.0,5.0,5.0,5.0,5.0,5.0,2015-09-02 00:00:00+05:30,40.440284729003906,40.440284729003906,40.440284729003906,40.440284729003906,2261,0.0,0.0
6,6.0,6.0,6.0,6.0,6.0,6.0,2015-09-03 00:00:00+05:30,38.432960510253906,38.432960510253906,38.432960510253906,38.432960510253906,2748,0.0,0.0
7,7.0,7.0,7.0,7.0,7.0,7.0,2015-09-04 00:00:00+05:30,36.52355194091797,36.52355194091797,36.52355194091797,36.52355194091797,3607,0.0,0.0
8,8.0,8.0,8.0,8.0,8.0,8.0,2015-09-07 00:00:00+05:30,34.71206283569336,34.71206283569336,34.71206283569336,34.71206283569336,1338,0.0,0.0
9,9.0,9.0,9.0,9.0,9.0,9.0,2015-09-08 00:00:00+05:30,32.99848937988281,32.99848937988281,32.99848937988281,32.99848937988281,342,0.0,0.0
10,10.0,10.0,10.0,10.0,10.0,10.0,2015-09-09 00:00:00+05:30,29.718223571777344,29.718223571777344,29.718223571777344,29.718223571777344,20260,0.0,0.0
11,11.0,11.0,11.0,11.0,11.0,11.0,2015-09-10 00:00:00+05:30,26.780673143177697,32.6557731628418,26.780673143177697,32.6557731628418,2182966,0.0,0.0
12,12.0,12.0,12.0,12.0,12.0,12.0,2015-09-11 00:00:00+05:30,34.4672653967167,35.887082443263324,31.431793825601623,35.15269470214844,2163150,0.0,0.0
13,13.0,13.0,13.0,13.0,13.0,13.0,2015-09-14 00:00:00+05:30,38.383999712013,38.6287956237793,37.30689545906779,38.6287956237793,1567313,0.0,0.0
14,14.0,14.0,14.0,14.0,14.0,14.0,2015-09-15 00:00:00+05:30,41.517387485702024,42.447608947753906,40.92987506540232,42.447608947753906,190600,0.0,0.0
15,15.0,15.0,15.0,15.0,15.0,15.0,2015-09-16 00:00:00+05:30,44.5528564453125,44.5528564453125,44.5528564453125,44.5528564453125,73962,0.0,0.0
