,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
0,0.0,0.0,0.0,0.0,0.0,2006-09-25 00:00:00+05:30,33.57314770399469,39.90337265633852,33.57314770399469,36.77650833129883,64336575,0.0,0.0
1,1.0,1.0,1.0,1.0,1.0,2006-09-26 00:00:00+05:30,37.063379648093914,37.675368367543456,35.26567441181444,36.135841369628906,14177040,0.0,0.0
2,2.0,2.0,2.0,2.0,2.0,2006-09-27 00:00:00+05:30,36.31751632899503,37.65623615231105,35.97327388027274,36.279266357421875,7237110,0.0,0.0
3,3.0,3.0,3.0,3.0,3.0,2006-09-28 00:00:00+05:30,36.52789561731256,37.01557009589642,35.609917982496555,36.011531829833984,7444235,0.0,0.0
4,4.0,4.0,4.0,4.0,4.0,2006-09-29 00:00:00+05:30,36.04977838791475,36.85300965406306,35.217861463313525,35.66728591918945,5396785,0.0,0.0
5,5.0,5.0,5.0,5.0,5.0,2006-10-03 00:00:00+05:30,35.76291611012571,37.25462893215288,35.389984256899865,36.74782943725586,7084885,0.0,0.0
6,6.0,6.0,6.0,6.0,6.0,2006-10-04 00:00:00+05:30,36.9677523445022,41.42377202801186,36.33664238581519,39.55912780761719,32360235,0.0,0.0
7,7.0,7.0,7.0,7.0,7.0,2006-10-05 00:00:00+05:30,39.98943375648249,43.12585878907926,39.81731251467233,41.94969940185547,23042750,0.0,0.0
8,8.0,8.0,8.0,8.0,8.0,2006-10-06 00:00:00+05:30,42.79117867110988,43.39360298996371,41.21340190906545,42.00707244873047,13353135,0.0,0.0
9,9.0,9.0,9.0,9.0,9.0,2006-10-09 00:00:00+05:30,42.07401299531973,50.41231855620762,41.156035405419786,50.07763671875,31905630,0.0,0.0
10,10.0,10.0,10.0,10.0,10.0,2006-10-10 00:00:00+05:30,50.297561775427575,52.34389155665651,49.465644925799545,51.09123229980469,34332385,0.0,0.0
11,11.0,11.0,11.0,11.0,11.0,2006-10-11 00:00:00+05:30,51.57890505068662,55.88192838471319,51.5406587266499,54.285030364990234,30898300,0.0,0.0
12,12.0,12.0,12.0,12.0,12.0,2006-10-12 00:00:00+05:30,54.50496546119464,59.71640587079989,53.57742365362024,59.69728088378906,37671165,0.0,0.0
13,13.0,13.0,13.0,13.0,13.0,2006-10-13 00:00:00+05:30,60.051087235567735,64.43060735913963,59.98415160130945,61.7818603515625,39651985,0.0,0.0
14,14.0,14.0,14.0,14.0,14.0,2006-10-16 00:00:00+05:30,61.96354085524979,62.99626094300274,60.60569599746957,62.05916213989258,19234495,0.0,0.0
15,15.0,15.0,15.0,15.0,15.0,2006-10-17 00:00:00+05:30,62.49902515826014,68.26507537080964,60.624820278414674,62.74764633178711,34230920,0.0,0.0
16,16.0,16.0,16.0,16.0,16.0,2006-10-18 00:00:00+05:30,61.19856024310979,63.646500318294386,59.68771903620317,62.27909469604492,15773715,0.0,0.0
17,17.0,17.0,17.0,17.0,17.0,2006-10-19 00:00:00+05:30,62.72851664637543,65.21470645366324,62.72851664637543,63.550872802734375,9285300,0.0,0.0
18,18.0,18.0,18.0,18.0,18.0,2006-10-20 00:00:00+05:30,64.06724113469305,66.73511667829162,64.06724113469305,66.0753173828125,9612150,0.0,0.0
19,19.0,19.0,19.0,19.0,19.0,2006-10-23 00:00:00+05:30,67.50966006098409,69.21174384422024,66.84986804668499,67.23235321044922,5640715,0.0,0.0
20,20.0,20.0,20.0,20.0,20.0,2006-10-26 00:00:00+05:30,67.82520883596322,69.23086426179627,67.17497392113691,67.69133758544922,5171710,0.0,0.0
21,21.0,21.0,21.0,21.0,21.0,2006-10-27 00:00:00+05:30,68.43719947669965,71.07638932661915,67.94952142612573,70.96163940429688,6762725,0.0,0.0
