,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
0,0.0,0.0,0.0,0.0,0.0,0.0,2002-07-01 00:00:00+05:30,0.1688141492584239,0.1797981825616675,0.1676372801966036,0.1757445484399795,157670,0.0,0.0
1,1.0,1.0,1.0,1.0,1.0,1.0,2002-07-02 00:00:00+05:30,0.1797982071246921,0.1817596402409367,0.1753522827083533,0.1782290637493133,83770,0.0,0.0
2,2.0,2.0,2.0,2.0,2.0,2.0,2002-07-03 00:00:00+05:30,0.1786213420562374,0.1786213420562374,0.1754830399182846,0.1774444729089737,65820,0.0,0.0
3,3.0,3.0,3.0,3.0,3.0,3.0,2002-07-04 00:00:00+05:30,0.1753523006772387,0.1960127503245234,0.172998577578935,0.1889515966176986,919770,0.0,0.0
4,4.0,4.0,4.0,4.0,4.0,4.0,2002-07-05 00:00:00+05:30,0.1935282530696297,0.1999356105539792,0.189866908162585,0.1962742656469345,1051530,0.0,0.0
5,5.0,5.0,5.0,5.0,5.0,5.0,2002-07-08 00:00:00+05:30,0.1973203664679901,0.2042507826814786,0.1970588451513512,0.1984972357749939,424310,0.0,0.0
6,6.0,6.0,6.0,6.0,6.0,6.0,2002-07-09 00:00:00+05:30,0.1999356108930014,0.1999356108930014,0.1916975731471183,0.1927436739206314,214230,0.0,0.0
7,7.0,7.0,7.0,7.0,7.0,7.0,2002-07-10 00:00:00+05:30,0.1960127157131675,0.1998048288097472,0.1896053742434787,0.1923513710498809,236900,0.0,0.0
8,8.0,8.0,8.0,8.0,8.0,8.0,2002-07-11 00:00:00+05:30,0.1966665656226647,0.1979742034501188,0.1915668451243665,0.1926129460334777,532730,0.0,0.0
9,9.0,9.0,9.0,9.0,9.0,9.0,2002-07-12 00:00:00+05:30,0.4442773032752644,0.4442773032752644,0.4207803539758288,0.4260362684726715,109790,0.85,0.0
10,10.0,10.0,10.0,10.0,10.0,10.0,2002-07-15 00:00:00+05:30,0.4238720136723108,0.4300554067213949,0.4118143751130391,0.413051038980484,43800,0.0,0.0
11,11.0,11.0,11.0,11.0,11.0,11.0,2002-07-16 00:00:00+05:30,0.4226353088638386,0.4226353088638386,0.4025392816485591,0.4034667611122131,36620,0.0,0.0
12,12.0,12.0,12.0,12.0,12.0,12.0,2002-07-17 00:00:00+05:30,0.4145969924715642,0.4145969924715642,0.3846074990871333,0.3969743251800537,83710,0.0,0.0
13,13.0,13.0,13.0,13.0,13.0,13.0,2002-07-18 00:00:00+05:30,0.3979017134308672,0.4084135039797429,0.3910999882850833,0.3985200822353363,37420,0.0,0.0
14,14.0,14.0,14.0,14.0,14.0,14.0,2002-07-19 00:00:00+05:30,0.3963559078401455,0.4009934900937243,0.3941917273590986,0.3997567892074585,98030,0.0,0.0
15,15.0,15.0,15.0,15.0,15.0,15.0,2002-07-22 00:00:00+05:30,0.3904816279253393,0.3917182917324373,0.381206538804321,0.3842982351779938,28270,0.0,0.0
16,16.0,16.0,16.0,16.0,16.0,16.0,2002-07-23 00:00:00+05:30,0.3781148620574523,0.3889357999269895,0.3728589484646476,0.3861532509326935,55540,0.0,0.0
17,17.0,17.0,17.0,17.0,17.0,17.0,2002-07-24 00:00:00+05:30,0.3660572572505637,0.3858441390091833,0.3660572572505637,0.3815157413482666,133080,0.0,0.0
18,18.0,18.0,18.0,18.0,18.0,18.0,2002-07-25 00:00:00+05:30,0.3842983079112861,0.4087227359994885,0.3799699100553837,0.3855349719524383,82130,0.0,0.0
19,19.0,19.0,19.0,19.0,19.0,19.0,2002-07-26 00:00:00+05:30,0.396355930925121,0.396355930925121,0.3722406860816393,0.3880083560943603,264020,0.0,0.0
20,20.0,20.0,20.0,20.0,20.0,20.0,2002-07-29 00:00:00+05:30,0.376569039276474,0.3889358262500689,0.3691489449787576,0.3771873712539673,113290,0.0,0.0
21,21.0,21.0,21.0,21.0,21.0,21.0,2002-07-30 00:00:00+05:30,0.3796607810201761,0.3842983266849517,0.3713131693388308,0.3716223537921905,57160,0.0,0.0
22,22.0,22.0,22.0,22.0,22.0,22.0,2002-07-31 00:00:00+05:30,0.36914899521297,0.3781149391024815,0.3611105678438822,0.3722406923770904,31950,0.0,0.0
23,23.0,23.0,23.0,23.0,23.0,23.0,2002-08-01 00:00:00+05:30,0.3812066274373474,0.3839891400782341,0.3719314993038733,0.3731682002544403,38170,0.0,0.0
24,24.0,24.0,24.0,24.0,24.0,24.0,2002-08-02 00:00:00+05:30,0.3691489762053699,0.3740957061556287,0.3691489762053699,0.3697673082351684,46100,0.0,0.0
25,25.0,25.0,25.0,25.0,25.0,25.0,2002-08-05 00:00:00+05:30,0.3768782398780011,0.3768782398780011,0.3697673289962286,0.3765690922737121,205710,0.0,0.0
26,26.0,26.0,26.0,26.0,26.0,26.0,2002-08-06 00:00:00+05:30,0.3734772499836095,0.3781148312630763,0.3706947380718562,0.374095618724823,31150,0.0,0.0
27,27.0,27.0,27.0,27.0,27.0,27.0,2002-08-07 00:00:00+05:30,0.411814378103356,0.411814378103356,0.3691489215277527,0.3719314336776733,145240,0.0,0.0
28,28.0,28.0,28.0,28.0,28.0,28.0,2002-08-08 00:00:00+05:30,0.3719314330424274,0.3719314330424274,0.3567821347304139,0.3598738312721252,46080,0.0,0.0
29,29.0,29.0,29.0,29.0,29.0,29.0,2002-08-09 00:00:00+05:30,0.3629656028274693,0.36729396413803,0.3608014221721889,0.3654389679431915,23250,0.0,0.0
30,30.0,30.0,30.0,30.0,30.0,30.0,2002-08-12 00:00:00+05:30,0.36605731087605,0.36605731087605,0.3629656136035919,0.3629656136035919,4500,0.0,0.0
31,31.0,31.0,31.0,31.0,31.0,31.0,2002-08-13 00:00:00+05:30,0.369149008495013,0.4238721166095773,0.3629656139442927,0.4000660181045532,248270,0.0,0.0
32,32.0,32.0,32.0,32.0,32.0,32.0,2002-08-14 00:00:00+05:30,0.406867730059309,0.4087227630999707,0.3827524848103938,0.3886266946792602,588010,0.0,0.0
33,33.0,33.0,33.0,33.0,33.0,33.0,2002-08-15 00:00:00+05:30,0.3886266946792602,0.3886266946792602,0.3886266946792602,0.3886266946792602,0,0.0,0.0
34,34.0,34.0,34.0,34.0,34.0,34.0,2002-08-16 00:00:00+05:30,0.3904816950422127,0.3904816950422127,0.3750232105168096,0.379042387008667,143740,0.0,0.0
35,35.0,35.0,35.0,35.0,35.0,35.0,2002-08-19 00:00:00+05:30,0.3842982583362266,0.3904816514561902,0.3812065617762448,0.3836799263954162,64250,0.0,0.0
36,36.0,36.0,36.0,36.0,36.0,36.0,2002-08-20 00:00:00+05:30,0.3842982862534287,0.3904816798225826,0.3753323434645959,0.3852258026599884,89560,0.0,0.0
37,37.0,37.0,37.0,37.0,37.0,37.0,2002-08-21 00:00:00+05:30,0.4087227517397391,0.4087227517397391,0.3750232314772943,0.3799699246883392,8500,0.0,0.0
38,38.0,38.0,38.0,38.0,38.0,38.0,2002-08-22 00:00:00+05:30,0.3812065739228139,0.3812065739228139,0.3771873608955854,0.3796607255935669,11040,0.0,0.0
39,39.0,39.0,39.0,39.0,39.0,39.0,2002-08-23 00:00:00+05:30,0.3812066534086739,0.3812066534086739,0.3722407091159825,0.3762599229812622,34250,0.0,0.0
40,40.0,40.0,40.0,40.0,40.0,40.0,2002-08-26 00:00:00+05:30,0.3781148804669893,0.3781148804669893,0.3691489379678554,0.3706947863101959,39900,0.0,0.0
41,41.0,41.0,41.0,41.0,41.0,41.0,2002-08-27 00:00:00+05:30,0.3676031272647622,0.3759507017969309,0.3623472497338363,0.3645114302635193,151460,0.0,0.0
42,42.0,42.0,42.0,42.0,42.0,42.0,2002-08-28 00:00:00+05:30,0.3620380314404143,0.3682214248647466,0.3617288470268249,0.3617288470268249,85790,0.0,0.0
43,43.0,43.0,43.0,43.0,43.0,43.0,2002-08-29 00:00:00+05:30,0.3660572787641407,0.3691489757653836,0.3601830323482179,0.3645114302635193,8850,0.0,0.0
44,44.0,44.0,44.0,44.0,44.0,44.0,2002-08-30 00:00:00+05:30,0.3651296794414519,0.3676030438524053,0.3629654994028405,0.365129679441452,57750,0.0,0.0
45,45.0,45.0,45.0,45.0,45.0,45.0,2002-09-02 00:00:00+05:30,0.380279029142458,0.380279029142458,0.3629655144060559,0.3648205101490021,408210,0.0,0.0
46,46.0,46.0,46.0,46.0,46.0,46.0,2002-09-03 00:00:00+05:30,0.3660572767505068,0.3660572767505068,0.3570913333826617,0.3601830303668976,154990,0.0,0.0
47,47.0,47.0,47.0,47.0,47.0,47.0,2002-09-04 00:00:00+05:30,0.3601830639448164,0.3632747612172745,0.3598739163311338,0.3629656136035919,24580,0.0,0.0
48,48.0,48.0,48.0,48.0,48.0,48.0,2002-09-05 00:00:00+05:30,0.365129775382091,0.3660572918869014,0.3635839268260525,0.3657481074333191,3990,0.0,0.0
49,49.0,49.0,49.0,49.0,49.0,49.0,2002-09-06 00:00:00+05:30,0.3660573000081377,0.3660573000081377,0.359564721186359,0.3654389679431915,24560,0.0,0.0
50,50.0,50.0,50.0,50.0,50.0,50.0,2002-09-09 00:00:00+05:30,0.3536904289485987,0.365748030403898,0.3505986956317284,0.3549270927906036,32330,0.0,0.0
51,51.0,51.0,51.0,51.0,51.0,51.0,2002-09-10 00:00:00+05:30,0.3549270927906036,0.3549270927906036,0.3549270927906036,0.3549270927906036,0,0.0,0.0
52,52.0,52.0,52.0,52.0,52.0,52.0,2002-09-11 00:00:00+05:30,0.3558546238319766,0.3558546238319766,0.3515262264939115,0.355236291885376,17400,0.0,0.0
53,53.0,53.0,53.0,53.0,53.0,53.0,2002-09-12 00:00:00+05:30,0.3654388638137938,0.3660571957025503,0.3589462868420322,0.365129679441452,177990,0.0,0.0
54,54.0,54.0,54.0,54.0,54.0,54.0,2002-09-13 00:00:00+05:30,0.3536905217862176,0.3657481264064287,0.3536905217862176,0.3629656136035919,8760,0.0,0.0
55,55.0,55.0,55.0,55.0,55.0,55.0,2002-09-16 00:00:00+05:30,0.3598738934652583,0.3626564060912982,0.3574005284332582,0.357709676027298,23250,0.0,0.0
56,56.0,56.0,56.0,56.0,56.0,56.0,2002-09-17 00:00:00+05:30,0.3598739016252531,0.3598739016252531,0.356782204479134,0.3574005365371704,7270,0.0,0.0
57,57.0,57.0,57.0,57.0,57.0,57.0,2002-09-18 00:00:00+05:30,0.3623472371306869,0.3648205651609056,0.3583280237976802,0.3626563847064972,21380,0.0,0.0
58,58.0,58.0,58.0,58.0,58.0,58.0,2002-09-19 00:00:00+05:30,0.3660573064853919,0.3660573064853919,0.3598739120146421,0.3608014285564422,22470,0.0,0.0
59,59.0,59.0,59.0,59.0,59.0,59.0,2002-09-20 00:00:00+05:30,0.3629655278138365,0.3629655278138365,0.3598738312721252,0.3598738312721252,940,0.0,0.0
60,60.0,60.0,60.0,60.0,60.0,60.0,2002-09-23 00:00:00+05:30,0.3555454718963569,0.361419718065279,0.3555454718963569,0.3589463531970978,11010,0.0,0.0
61,61.0,61.0,61.0,61.0,61.0,61.0,2002-09-24 00:00:00+05:30,0.3583280428568509,0.3614197399150033,0.3552363457986985,0.3592555224895477,6430,0.0,0.0
62,62.0,62.0,62.0,62.0,62.0,62.0,2002-09-25 00:00:00+05:30,0.3598738591461082,0.3614197075366974,0.3567821623649299,0.3614197075366974,2500,0.0,0.0
63,63.0,63.0,63.0,63.0,63.0,63.0,2002-09-26 00:00:00+05:30,0.3642021649584624,0.3642021649584624,0.3567821085453033,0.3567821085453033,9470,0.0,0.0
64,64.0,64.0,64.0,64.0,64.0,64.0,2002-09-27 00:00:00+05:30,0.3642021916881491,0.3642021916881491,0.357091282271027,0.3598738312721252,3200,0.0,0.0
65,65.0,65.0,65.0,65.0,65.0,65.0,2002-09-30 00:00:00+05:30,0.3598739147208062,0.3598739147208062,0.352144671574247,0.353381335735321,32000,0.0,0.0
66,66.0,66.0,66.0,66.0,66.0,66.0,2002-10-01 00:00:00+05:30,0.3660572633721436,0.3660572633721436,0.3567821727584144,0.3589463531970978,25080,0.0,0.0
67,67.0,67.0,67.0,67.0,67.0,67.0,2002-10-02 00:00:00+05:30,0.3589463531970978,0.3589463531970978,0.3589463531970978,0.3589463531970978,0,0.0,0.0
68,68.0,68.0,68.0,68.0,68.0,68.0,2002-10-03 00:00:00+05:30,0.3598738607393817,0.3638930739438944,0.3536904671496493,0.3539996147155761,8610,0.0,0.0
69,69.0,69.0,69.0,69.0,69.0,69.0,2002-10-04 00:00:00+05:30,0.3530721063676098,0.356472987661988,0.3521446267927192,0.3536904752254486,1940,0.0,0.0
