,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
0,0.0,0.0,0.0,0.0,0.0,0.0,2002-07-01 00:00:00+05:30,3.2770583972082954,3.344165214776045,3.254689070942861,3.321796178817749,155855,0.0,0.0
1,1.0,1.0,1.0,1.0,1.0,1.0,2002-07-02 00:00:00+05:30,3.355350117421338,3.3833113417883593,3.282650527637059,3.3050198554992676,271462,0.0,0.0
2,2.0,2.0,2.0,2.0,2.0,2.0,2002-07-03 00:00:00+05:30,3.4336408337146236,3.4336408337146236,3.282649791501075,3.3106110095977783,72696,0.0,0.0
3,3.0,3.0,3.0,3.0,3.0,3.0,2002-07-04 00:00:00+05:30,3.2994280642315403,3.372127082116853,3.221136568556654,3.2546896934509277,52512,0.0,0.0
4,4.0,4.0,4.0,4.0,4.0,4.0,2002-07-05 00:00:00+05:30,3.2211357972679986,3.332980391056396,3.2211357972679986,3.3162038326263428,50133,0.0,0.0
5,5.0,5.0,5.0,5.0,5.0,5.0,2002-07-08 00:00:00+05:30,3.2770578962502475,3.3441647035594975,3.2770578962502475,3.3106110095977783,43988,0.0,0.0
6,6.0,6.0,6.0,6.0,6.0,6.0,2002-07-09 00:00:00+05:30,3.254689747302529,3.2994281188233767,3.187582915789256,3.2770590782165527,39736,0.0,0.0
7,7.0,7.0,7.0,7.0,7.0,7.0,2002-07-10 00:00:00+05:30,3.293835560079899,3.293835560079899,3.187582837536314,3.209951877593994,31571,0.0,0.0
8,8.0,8.0,8.0,8.0,8.0,8.0,2002-07-11 00:00:00+05:30,3.2435043460353006,3.2435043460353006,3.1428444119079555,3.1484363079071045,38784,0.0,0.0
9,9.0,9.0,9.0,9.0,9.0,9.0,2002-07-12 00:00:00+05:30,3.120475115166645,3.1875822223891963,3.1148832191153515,3.159621000289917,21800,0.0,0.0
10,10.0,10.0,10.0,10.0,10.0,10.0,2002-07-15 00:00:00+05:30,3.131659585993862,3.1596208063771,3.0813290409354916,3.1260673999786377,47335,0.0,0.0
11,11.0,11.0,11.0,11.0,11.0,11.0,2002-07-16 00:00:00+05:30,3.2099512253089384,3.215543121303055,3.131659746170044,3.131659746170044,9743,0.0,0.0
12,12.0,12.0,12.0,12.0,12.0,12.0,2002-07-17 00:00:00+05:30,3.126068112394162,3.126068112394162,2.9974463531961537,3.07014536857605,79882,0.0,0.0
13,13.0,13.0,13.0,13.0,13.0,13.0,2002-07-18 00:00:00+05:30,3.2155431514579944,3.2155431514579944,3.103698553462738,3.1428444385528564,44363,0.0,0.0
14,14.0,14.0,14.0,14.0,14.0,14.0,2002-07-19 00:00:00+05:30,3.131659545754336,3.18758198580225,3.1204748835604845,3.1763973236083984,31707,0.0,0.0
15,15.0,15.0,15.0,15.0,15.0,15.0,2002-07-22 00:00:00+05:30,3.165212868180062,3.165212868180062,3.030998945236206,3.030998945236206,20793,0.0,0.0
16,16.0,16.0,16.0,16.0,16.0,16.0,2002-07-23 00:00:00+05:30,3.02540763191195,3.064553233919038,2.9974464046762614,3.0365920066833496,9036,0.0,0.0
17,17.0,17.0,17.0,17.0,17.0,17.0,2002-07-24 00:00:00+05:30,3.0309988448259237,3.10369842565885,3.019814762886212,3.047775983810425,44744,0.0,0.0
18,18.0,18.0,18.0,18.0,18.0,18.0,2002-07-25 00:00:00+05:30,3.025407154612587,3.08132930995429,3.0198149681091313,3.019814968109131,16738,0.0,0.0
19,19.0,19.0,19.0,19.0,19.0,19.0,2002-07-26 00:00:00+05:30,3.0198150356621043,3.0198150356621043,2.9191542248124076,2.941523551940918,50079,0.0,0.0
20,20.0,20.0,20.0,20.0,20.0,20.0,2002-07-29 00:00:00+05:30,2.9135626399002685,2.952708531098453,2.8744167487020844,2.8800089359283447,45185,0.0,0.0
21,21.0,21.0,21.0,21.0,21.0,21.0,2002-07-30 00:00:00+05:30,2.9079689928245895,3.0142219695334647,2.885600540989912,2.8911924362182617,32448,0.0,0.0
22,22.0,22.0,22.0,22.0,22.0,22.0,2002-07-31 00:00:00+05:30,2.807309795174901,2.9415237341077014,2.807309795174901,2.919154405593872,21637,0.0,0.0
23,23.0,23.0,23.0,23.0,23.0,23.0,2002-08-01 00:00:00+05:30,3.019814760265042,3.019814760265042,2.8800083654582047,2.9303386211395264,14914,0.0,0.0
24,24.0,24.0,24.0,24.0,24.0,24.0,2002-08-02 00:00:00+05:30,2.8296779933989464,2.930338801255937,2.8240860972437942,2.9079694747924805,18317,0.0,0.0
25,25.0,25.0,25.0,25.0,25.0,25.0,2002-08-05 00:00:00+05:30,2.7961247964015814,2.963891837112691,2.7961247964015814,2.896785020828247,20303,0.0,0.0
26,26.0,26.0,26.0,26.0,26.0,26.0,2002-08-06 00:00:00+05:30,2.9191541380242088,2.9359306974110893,2.902377578637328,2.9079694747924805,10886,0.0,0.0
27,27.0,27.0,27.0,27.0,27.0,27.0,2002-08-07 00:00:00+05:30,2.9079700051426314,2.947115898132324,2.896785630178259,2.947115898132324,15780,0.0,0.0
28,28.0,28.0,28.0,28.0,28.0,28.0,2002-08-08 00:00:00+05:30,2.90796947479248,2.9191541380242088,2.8632316927869903,2.9079694747924805,22720,0.0,0.0
29,29.0,29.0,29.0,29.0,29.0,29.0,2002-08-09 00:00:00+05:30,2.880008597788636,2.9303388575301024,2.8296780477400234,2.913562297821045,17620,0.0,0.0
30,30.0,30.0,30.0,30.0,30.0,30.0,2002-08-12 00:00:00+05:30,2.9079690943434886,2.9582996368408203,2.9079690943434886,2.9582996368408203,28811,0.0,0.0
31,31.0,31.0,31.0,31.0,31.0,31.0,2002-08-13 00:00:00+05:30,2.991853602898608,2.991853602898608,2.9303386833667355,2.969484567642212,13886,0.0,0.0
32,32.0,32.0,32.0,32.0,32.0,32.0,2002-08-14 00:00:00+05:30,2.9806691426269225,3.075737476348877,2.924746405532912,3.075737476348877,28550,0.0,0.0
33,33.0,33.0,33.0,33.0,33.0,33.0,2002-08-15 00:00:00+05:30,3.075737476348877,3.075737476348877,3.075737476348877,3.075737476348877,0,0.0,0.0
34,34.0,34.0,34.0,34.0,34.0,34.0,2002-08-16 00:00:00+05:30,2.95829984785732,3.0757372081137326,2.95829984785732,3.064552545547486,45996,0.0,0.0
35,35.0,35.0,35.0,35.0,35.0,35.0,2002-08-19 00:00:00+05:30,3.075737476348877,3.1036986997423077,3.0198150295620154,3.075737476348877,20140,0.0,0.0
36,36.0,36.0,36.0,36.0,36.0,36.0,2002-08-20 00:00:00+05:30,3.126067736518482,3.126067736518482,3.0309991124893787,3.075737476348877,7892,0.0,0.0
37,37.0,37.0,37.0,37.0,37.0,37.0,2002-08-21 00:00:00+05:30,3.1540286848489663,3.1540286848489663,3.019814766203869,3.064552545547486,33400,0.0,0.0
38,38.0,38.0,38.0,38.0,38.0,38.0,2002-08-22 00:00:00+05:30,3.003037623901711,3.1540286813838576,3.003037623901711,3.047775983810425,17691,0.0,0.0
39,39.0,39.0,39.0,39.0,39.0,39.0,2002-08-23 00:00:00+05:30,3.047775987158801,3.08692187067998,2.997445731378499,3.064552545547486,5715,0.0,0.0
40,40.0,40.0,40.0,40.0,40.0,40.0,2002-08-26 00:00:00+05:30,2.9974463531961537,3.07573784617289,2.9974463531961537,3.07014536857605,43645,0.0,0.0
41,41.0,41.0,41.0,41.0,41.0,41.0,2002-08-27 00:00:00+05:30,3.053368149265553,3.075737476348877,3.053368149265553,3.075737476348877,7435,0.0,0.0
42,42.0,42.0,42.0,42.0,42.0,42.0,2002-08-28 00:00:00+05:30,3.025407478113159,3.126068007167362,3.025407478113159,3.086922407150269,16880,0.0,0.0
43,43.0,43.0,43.0,43.0,43.0,43.0,2002-08-29 00:00:00+05:30,3.070145100350205,3.075737577458454,2.99744609132172,3.0421838760375977,69142,0.0,0.0
44,44.0,44.0,44.0,44.0,44.0,44.0,2002-08-30 00:00:00+05:30,3.12047486897771,3.12047486897771,2.997445617570092,3.025406837463379,9934,0.0,0.0
