,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
0,0.0,0.0,0.0,0.0,0.0,0.0,2014-06-23 00:00:00+05:30,32.40480915955339,34.299827196785046,32.40480915955339,33.92082214355469,2190,0.0,0.0
1,1.0,1.0,1.0,1.0,1.0,1.0,2014-06-24 00:00:00+05:30,33.54181832061775,34.48932727188424,33.390217032993505,33.76921844482422,11465,0.0,0.0
2,2.0,2.0,2.0,2.0,2.0,2.0,2014-06-25 00:00:00+05:30,33.7692174645205,34.48932627067612,33.7692174645205,34.347198486328125,3730,0.0,0.0
3,3.0,3.0,3.0,3.0,3.0,3.0,2014-06-26 00:00:00+05:30,34.67883271484501,35.057837812657944,32.973317003607804,34.06295394897461,15960,0.0,0.0
4,4.0,4.0,4.0,4.0,4.0,4.0,2014-06-27 00:00:00+05:30,33.59866604347587,37.46450424194336,33.551291319510874,37.46450424194336,24055,0.0,0.0
5,5.0,5.0,5.0,5.0,5.0,5.0,2014-06-30 00:00:00+05:30,41.20716857910156,41.20716857910156,41.20716857910156,41.20716857910156,4300,0.0,0.0
6,6.0,6.0,6.0,6.0,6.0,6.0,2014-07-01 00:00:00+05:30,45.319358825683594,45.319358825683594,43.79386870281434,45.319358825683594,53680,0.0,0.0
7,7.0,7.0,7.0,7.0,7.0,7.0,2014-07-02 00:00:00+05:30,45.86891163443472,47.58390426635742,45.48043307978991,47.58390426635742,21120,0.0,0.0
8,8.0,8.0,8.0,8.0,8.0,8.0,2014-07-03 00:00:00+05:30,49.82003019216323,49.962154388427734,48.79671862964903,49.962154388427734,31620,0.0,0.0
9,9.0,9.0,9.0,9.0,9.0,9.0,2014-07-04 00:00:00+05:30,52.454097747802734,52.454097747802734,52.454097747802734,52.454097747802734,10890,0.0,0.0
10,10.0,10.0,10.0,10.0,10.0,10.0,2014-07-07 00:00:00+05:30,54.19750926874936,54.95551565838692,49.83896620302914,52.93732070922851,104340,0.0,0.0
