,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
0,0.0,0.0,0.0,0.0,0.0,2019-06-18 00:00:00+05:30,16.0,16.0,15.199999809265137,15.199999809265137,35352,0.0,0.0
1,1.0,1.0,1.0,1.0,1.0,2019-06-19 00:00:00+05:30,15.25,15.800000190734863,14.449999809265137,14.899999618530272,30377,0.0,0.0
2,2.0,2.0,2.0,2.0,2.0,2019-06-20 00:00:00+05:30,14.199999809265137,15.0,14.199999809265137,14.199999809265137,21337,0.0,0.0
3,3.0,3.0,3.0,3.0,3.0,2019-06-21 00:00:00+05:30,13.5,14.899999618530272,13.5,14.5,17213,0.0,0.0
4,4.0,4.0,4.0,4.0,4.0,2019-06-24 00:00:00+05:30,14.5,14.649999618530272,13.800000190734863,13.800000190734863,27740,0.0,0.0
5,5.0,5.0,5.0,5.0,5.0,2019-06-25 00:00:00+05:30,13.199999809265137,14.0,13.149999618530272,13.199999809265137,8845,0.0,0.0
6,6.0,6.0,6.0,6.0,6.0,2019-06-26 00:00:00+05:30,13.199999809265137,13.850000381469728,12.550000190734863,13.550000190734863,5714,0.0,0.0
7,7.0,7.0,7.0,7.0,7.0,2019-06-27 00:00:00+05:30,13.550000190734863,14.0,13.0,13.25,9230,0.0,0.0
8,8.0,8.0,8.0,8.0,8.0,2019-06-28 00:00:00+05:30,13.300000190734863,13.600000381469728,13.25,13.300000190734863,9412,0.0,0.0
9,9.0,9.0,9.0,9.0,9.0,2019-07-01 00:00:00+05:30,12.649999618530272,13.0,12.649999618530272,12.649999618530272,7312,0.0,0.0
10,10.0,10.0,10.0,10.0,10.0,2019-07-02 00:00:00+05:30,12.100000381469728,13.899999618530272,12.100000381469728,13.149999618530272,5790,0.0,0.0
11,11.0,11.0,11.0,11.0,11.0,2019-07-03 00:00:00+05:30,12.199999809265137,13.0,12.0,12.399999618530272,4671,0.0,0.0
