,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
0,0.0,0.0,0.0,0.0,0.0,0.0,2004-04-01 00:00:00+05:30,20.225399058505676,20.8341915337622,19.278391330357803,19.68425178527832,45577,0.0,0.0
1,1.0,1.0,1.0,1.0,1.0,1.0,2004-04-02 00:00:00+05:30,20.597438547288444,20.597438547288444,18.940174139304343,19.312211990356445,75317,0.0,0.0
2,2.0,2.0,2.0,2.0,2.0,2.0,2004-04-05 00:00:00+05:30,19.92100674770409,20.80037116089662,19.616610477468704,19.887184143066406,62069,0.0,0.0
3,3.0,3.0,3.0,3.0,3.0,3.0,2004-04-06 00:00:00+05:30,20.259224644563854,20.259224644563854,18.97399788840469,19.78571891784668,23067,0.0,0.0
4,4.0,4.0,4.0,4.0,4.0,4.0,2004-04-07 00:00:00+05:30,19.9548282623291,20.29304535623915,19.61661116841905,19.9548282623291,15495,0.0,0.0
5,5.0,5.0,5.0,5.0,5.0,5.0,2004-04-08 00:00:00+05:30,19.684252563574994,20.935656578830457,19.650429961223097,20.665082931518555,44974,0.0,0.0
6,6.0,6.0,6.0,6.0,6.0,6.0,2004-04-09 00:00:00+05:30,20.665082931518555,20.665082931518555,20.665082931518555,20.665082931518555,0,0.0,0.0
7,7.0,7.0,7.0,7.0,7.0,7.0,2004-04-12 00:00:00+05:30,21.51062616668833,21.578269577544237,20.462152401983857,20.631261825561523,35544,0.0,0.0
8,8.0,8.0,8.0,8.0,8.0,8.0,2004-04-13 00:00:00+05:30,20.49597587620518,20.63126270367511,18.70342272291477,20.360687255859375,25513,0.0,0.0
9,9.0,9.0,9.0,9.0,9.0,9.0,2004-04-14 00:00:00+05:30,20.360687255859375,20.360687255859375,20.360687255859375,20.360687255859375,0,0.0,0.0
10,10.0,10.0,10.0,10.0,10.0,10.0,2004-04-15 00:00:00+05:30,20.563619510794183,20.96948182582466,20.293045829357897,20.732728958129883,37627,0.0,0.0
11,11.0,11.0,11.0,11.0,11.0,11.0,2004-04-16 00:00:00+05:30,20.969478017526576,22.220881963338087,20.969478017526576,21.815021514892575,79711,0.0,0.0
