,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Adj Close
0,0.0,0.0,0.0,0.0,0.0,2024-03-22 00:00:00+05:30,72.0,74.0,68.5,70.0999984741211,998000.0,0.0,0.0,0.0,
1,1.0,1.0,1.0,1.0,1.0,2024-03-26 00:00:00+05:30,66.5999984741211,70.0,66.5999984741211,66.80000305175781,186000.0,0.0,0.0,0.0,
2,2.0,2.0,2.0,2.0,2.0,2024-03-27 00:00:00+05:30,63.5,69.69999694824219,63.5,65.25,190000.0,0.0,0.0,0.0,
3,3.0,3.0,3.0,3.0,3.0,2024-03-28 00:00:00+05:30,63.0,65.19999694824219,62.0,63.20000076293945,158000.0,0.0,0.0,0.0,
4,4.0,4.0,4.0,4.0,4.0,2024-04-01 00:00:00+05:30,64.5,65.0,62.0,62.25,18000.0,0.0,0.0,0.0,
5,5.0,5.0,5.0,5.0,5.0,2024-04-02 00:00:00+05:30,64.0,65.3499984741211,63.5,65.3499984741211,56000.0,0.0,0.0,0.0,
6,6.0,6.0,6.0,6.0,6.0,2024-04-03 00:00:00+05:30,68.5999984741211,68.5999984741211,68.5999984741211,68.5999984741211,20000.0,0.0,0.0,0.0,
7,7.0,7.0,7.0,7.0,7.0,2024-04-04 00:00:00+05:30,72.0,72.0,72.0,72.0,104000.0,0.0,0.0,0.0,
8,8.0,8.0,8.0,8.0,8.0,2024-04-05 00:00:00+05:30,75.5999984741211,75.5999984741211,69.05000305175781,70.0,60000.0,0.0,0.0,0.0,
9,9.0,9.0,9.0,9.0,9.0,2024-04-08 00:00:00+05:30,72.5,73.5,70.0,70.44999694824219,68000.0,0.0,0.0,0.0,
10,10.0,10.0,10.0,10.0,10.0,2024-04-09 00:00:00+05:30,74.94999694824219,76.0,70.80000305175781,72.6500015258789,70000.0,0.0,0.0,0.0,
11,11.0,11.0,11.0,11.0,11.0,2024-04-10 00:00:00+05:30,72.80000305175781,73.0,70.0,70.25,36000.0,0.0,0.0,0.0,
12,12.0,12.0,12.0,12.0,12.0,2024-04-12 00:00:00+05:30,70.30000305175781,70.30000305175781,69.5,69.5,30000.0,0.0,0.0,0.0,
13,13.0,13.0,13.0,13.0,13.0,2024-04-15 00:00:00+05:30,69.0,69.0,68.94999694824219,68.94999694824219,4000.0,0.0,0.0,0.0,
14,14.0,14.0,14.0,14.0,14.0,2024-04-16 00:00:00+05:30,67.55000305175781,68.5,63.900001525878906,66.5,16000.0,0.0,0.0,0.0,
15,15.0,15.0,15.0,15.0,15.0,2024-04-18 00:00:00+05:30,66.5,72.69999694824219,66.0,70.05000305175781,18000.0,0.0,0.0,0.0,
16,16.0,16.0,16.0,16.0,16.0,2024-04-19 00:00:00+05:30,71.44999694824219,71.44999694824219,67.5999984741211,69.25,68000.0,0.0,0.0,0.0,
17,17.0,17.0,17.0,17.0,17.0,2024-04-22 00:00:00+05:30,68.55000305175781,70.0,67.0,68.0,124000.0,0.0,0.0,0.0,
18,18.0,18.0,18.0,18.0,18.0,2024-04-23 00:00:00+05:30,66.5,67.0,65.0,65.8499984741211,44000.0,0.0,0.0,0.0,
19,19.0,19.0,19.0,19.0,19.0,2024-04-24 00:00:00+05:30,66.0,68.30000305175781,66.0,68.19999694824219,16000.0,0.0,0.0,0.0,
20,20.0,20.0,20.0,20.0,20.0,2024-04-25 00:00:00+05:30,70.0,70.0,66.30000305175781,68.8499984741211,48000.0,0.0,0.0,0.0,
21,21.0,21.0,21.0,21.0,21.0,2024-04-26 00:00:00+05:30,68.0,68.0,65.55000305175781,67.94999694824219,10000.0,0.0,0.0,0.0,
22,22.0,22.0,22.0,22.0,22.0,2024-04-29 00:00:00+05:30,67.94999694824219,68.0,66.0,66.1500015258789,26000.0,0.0,0.0,0.0,
23,23.0,23.0,23.0,23.0,23.0,2024-04-30 00:00:00+05:30,66.0,66.0,65.1500015258789,65.19999694824219,8000.0,0.0,0.0,0.0,
24,24.0,24.0,24.0,24.0,24.0,2024-05-02 00:00:00+05:30,68.6500015258789,75.0,67.25,73.0999984741211,158000.0,0.0,0.0,0.0,
25,25.0,25.0,25.0,25.0,25.0,2024-05-03 00:00:00+05:30,72.0999984741211,74.9000015258789,72.0,73.25,92000.0,0.0,0.0,0.0,
26,26.0,26.0,26.0,26.0,26.0,2024-05-06 00:00:00+05:30,77.0,77.0,72.55000305175781,73.25,60000.0,0.0,0.0,0.0,
27,27.0,27.0,27.0,27.0,27.0,2024-05-07 00:00:00+05:30,74.80000305175781,75.0999984741211,73.0,74.0,48000.0,0.0,0.0,0.0,
28,28.0,28.0,28.0,28.0,28.0,2024-05-08 00:00:00+05:30,76.0,76.0,71.5,71.6500015258789,24000.0,0.0,0.0,0.0,
29,29.0,29.0,29.0,29.0,29.0,2024-05-09 00:00:00+05:30,74.0,81.94999694824219,74.0,75.44999694824219,152000.0,0.0,0.0,0.0,
30,30.0,30.0,30.0,30.0,30.0,2024-05-10 00:00:00+05:30,80.80000305175781,80.80000305175781,77.0,78.9000015258789,60000.0,0.0,0.0,0.0,
31,31.0,31.0,31.0,31.0,31.0,2024-05-13 00:00:00+05:30,79.0,79.94999694824219,76.6500015258789,77.80000305175781,84000.0,0.0,0.0,0.0,
32,32.0,32.0,32.0,32.0,32.0,2024-05-14 00:00:00+05:30,77.80000305175781,79.75,77.69999694824219,79.0,36000.0,0.0,0.0,0.0,
33,33.0,33.0,33.0,33.0,33.0,2024-05-15 00:00:00+05:30,79.0,81.0,77.69999694824219,78.8499984741211,70000.0,0.0,0.0,0.0,
34,34.0,34.0,34.0,34.0,34.0,2024-05-16 00:00:00+05:30,80.6500015258789,81.0,78.0,78.80000305175781,106000.0,0.0,0.0,0.0,
35,35.0,35.0,35.0,35.0,35.0,2024-05-17 00:00:00+05:30,80.94999694824219,90.0,80.94999694824219,88.8499984741211,116000.0,0.0,0.0,0.0,
36,36.0,36.0,36.0,36.0,36.0,2024-05-21 00:00:00+05:30,99.5,111.9000015258789,95.0999984741211,110.6999969482422,266000.0,0.0,0.0,0.0,
37,37.0,37.0,37.0,37.0,37.0,2024-05-22 00:00:00+05:30,112.0500030517578,121.75,112.0,121.75,144000.0,0.0,0.0,0.0,
38,38.0,38.0,38.0,38.0,38.0,2024-05-23 00:00:00+05:30,125.5,133.89999389648438,125.5,133.89999389648438,158000.0,0.0,0.0,0.0,
39,39.0,39.0,39.0,39.0,39.0,2024-05-24 00:00:00+05:30,138.10000610351562,145.35000610351562,120.5500030517578,136.14999389648438,194000.0,0.0,0.0,0.0,
40,40.0,40.0,40.0,40.0,40.0,2024-05-27 00:00:00+05:30,136.1999969482422,136.64999389648438,126.3499984741211,133.8000030517578,112000.0,0.0,0.0,0.0,
41,41.0,41.0,41.0,41.0,41.0,2024-05-28 00:00:00+05:30,147.14999389648438,147.14999389648438,131.14999389648438,131.89999389648438,188000.0,0.0,0.0,0.0,
42,42.0,42.0,42.0,42.0,42.0,2024-05-29 00:00:00+05:30,127.3499984741211,128.9499969482422,125.0500030517578,125.9499969482422,66000.0,0.0,0.0,0.0,
43,43.0,43.0,43.0,43.0,43.0,2024-05-30 00:00:00+05:30,128.0,130.9499969482422,125.0500030517578,130.89999389648438,16000.0,0.0,0.0,0.0,
44,44.0,44.0,44.0,44.0,44.0,2024-05-31 00:00:00+05:30,132.0,139.0,125.0,125.75,56000.0,0.0,0.0,0.0,
45,45.0,45.0,45.0,45.0,45.0,2024-06-03 00:00:00+05:30,127.5,137.1999969482422,127.0500030517578,130.14999389648438,50000.0,0.0,0.0,0.0,
46,46.0,46.0,46.0,46.0,46.0,2024-06-04 00:00:00+05:30,126.0,126.0,117.1500015258789,119.9000015258789,68000.0,0.0,0.0,0.0,
47,47.0,47.0,47.0,47.0,47.0,2024-06-05 00:00:00+05:30,111.5999984741211,118.0,110.5500030517578,116.9000015258789,16000.0,0.0,0.0,0.0,
48,48.0,48.0,48.0,48.0,48.0,2024-06-06 00:00:00+05:30,122.0,127.25,122.0,127.25,12000.0,0.0,0.0,0.0,
49,49.0,49.0,49.0,49.0,49.0,2024-06-07 00:00:00+05:30,134.0,137.9499969482422,131.0,136.0500030517578,58000.0,0.0,0.0,0.0,
50,50.0,50.0,50.0,50.0,50.0,2024-06-10 00:00:00+05:30,143.75,144.0,131.0,132.0,54000.0,0.0,0.0,0.0,
51,51.0,51.0,51.0,51.0,51.0,2024-06-11 00:00:00+05:30,135.5,138.0,135.5,136.5,16000.0,0.0,0.0,0.0,
52,52.0,52.0,52.0,52.0,52.0,2024-06-12 00:00:00+05:30,136.5,136.5,130.0,131.5500030517578,26000.0,0.0,0.0,0.0,
53,53.0,53.0,53.0,53.0,53.0,2024-06-13 00:00:00+05:30,135.0,144.6999969482422,135.0,142.3000030517578,138000.0,0.0,0.0,0.0,
54,54.0,54.0,54.0,54.0,54.0,2024-06-14 00:00:00+05:30,149.9499969482422,156.5,146.60000610351562,156.5,162000.0,0.0,0.0,0.0,
55,55.0,55.0,55.0,55.0,55.0,2024-06-18 00:00:00+05:30,169.0,172.14999389648438,168.64999389648438,172.14999389648438,144000.0,0.0,0.0,0.0,
56,56.0,56.0,56.0,56.0,56.0,2024-06-19 00:00:00+05:30,172.14999389648438,179.89999389648438,163.5500030517578,164.5,64000.0,0.0,0.0,0.0,
57,57.0,57.0,57.0,57.0,57.0,2024-06-20 00:00:00+05:30,165.0,172.6999969482422,165.0,172.6999969482422,30000.0,0.0,0.0,0.0,
58,58.0,58.0,58.0,58.0,58.0,2024-06-21 00:00:00+05:30,178.0,181.3000030517578,175.10000610351562,181.0500030517578,98000.0,0.0,0.0,0.0,
59,59.0,59.0,59.0,59.0,59.0,2024-06-24 00:00:00+05:30,190.1000061035156,190.1000061035156,190.0,190.1000061035156,52000.0,0.0,0.0,0.0,
60,60.0,60.0,60.0,60.0,60.0,2024-06-25 00:00:00+05:30,199.6000061035156,199.6000061035156,183.0,185.1999969482422,80000.0,0.0,0.0,0.0,
61,61.0,61.0,61.0,61.0,61.0,2024-06-26 00:00:00+05:30,187.0,188.0,175.9499969482422,177.0,60000.0,0.0,0.0,0.0,
62,62.0,62.0,62.0,62.0,62.0,2024-06-27 00:00:00+05:30,175.9499969482422,185.6999969482422,169.0,169.0500030517578,66000.0,0.0,0.0,0.0,
63,63.0,63.0,63.0,63.0,63.0,2024-06-28 00:00:00+05:30,173.9499969482422,173.9499969482422,161.0,164.64999389648438,34000.0,0.0,0.0,0.0,
64,64.0,64.0,64.0,64.0,64.0,2024-07-01 00:00:00+05:30,170.0,172.85000610351562,170.0,172.85000610351562,12000.0,0.0,0.0,0.0,
65,65.0,65.0,65.0,65.0,65.0,2024-07-02 00:00:00+05:30,181.4499969482422,181.4499969482422,180.4499969482422,181.4499969482422,42000.0,0.0,0.0,0.0,
66,66.0,66.0,66.0,66.0,66.0,2024-07-03 00:00:00+05:30,190.5,190.5,175.0,178.60000610351562,38000.0,0.0,0.0,0.0,
67,67.0,67.0,67.0,67.0,67.0,2024-07-04 00:00:00+05:30,180.0,180.0,174.1999969482422,178.0,14000.0,0.0,0.0,0.0,
68,68.0,68.0,68.0,68.0,68.0,2024-07-05 00:00:00+05:30,181.0,181.3999938964844,175.10000610351562,175.10000610351562,24000.0,0.0,0.0,0.0,
69,69.0,69.0,69.0,69.0,69.0,2024-07-08 00:00:00+05:30,167.25,171.0,167.25,169.0500030517578,72000.0,0.0,0.0,0.0,
70,70.0,70.0,70.0,70.0,70.0,2024-07-09 00:00:00+05:30,172.9499969482422,177.5,172.10000610351562,174.9499969482422,50000.0,0.0,0.0,0.0,
71,71.0,71.0,71.0,71.0,71.0,2024-07-10 00:00:00+05:30,179.14999389648438,183.6499938964844,174.14999389648438,182.9499969482422,58000.0,0.0,0.0,0.0,
72,72.0,72.0,72.0,72.0,72.0,2024-07-11 00:00:00+05:30,191.0,191.0,183.0500030517578,183.5,34000.0,0.0,0.0,0.0,
73,73.0,73.0,73.0,73.0,73.0,2024-07-12 00:00:00+05:30,188.25,188.8500061035156,184.0,184.3500061035156,26000.0,0.0,0.0,0.0,
74,74.0,74.0,74.0,74.0,74.0,2024-07-15 00:00:00+05:30,184.0,193.5500030517578,184.0,193.5500030517578,52000.0,0.0,0.0,0.0,
75,75.0,75.0,75.0,75.0,75.0,2024-07-18 00:00:00+05:30,210.3999938964844,213.3500061035156,206.5,213.3000030517578,132000.0,0.0,0.0,0.0,
76,76.0,76.0,76.0,76.0,,2024-07-22 00:00:00+05:30,203.5,212.75,203.5,207.3999938964844,60000.0,0.0,0.0,0.0,
77,77.0,77.0,77.0,77.0,,2024-07-23 00:00:00+05:30,215.6499938964844,216.75,203.3999938964844,204.8000030517578,42000.0,0.0,0.0,0.0,
78,78.0,78.0,78.0,78.0,,2024-07-24 00:00:00+05:30,213.5,215.0,206.1999969482422,215.0,34000.0,0.0,0.0,0.0,
79,79.0,79.0,79.0,79.0,,2024-07-25 00:00:00+05:30,223.8999938964844,223.8999938964844,208.0,209.8999938964844,42000.0,0.0,0.0,0.0,
80,80.0,80.0,80.0,,,2024-07-29 00:00:00+05:30,219.0,223.1000061035156,212.6000061035156,223.1000061035156,60000.0,0.0,0.0,0.0,
81,81.0,81.0,81.0,,,2024-07-30 00:00:00+05:30,232.75,234.25,232.75,234.25,12000.0,0.0,0.0,0.0,
82,82.0,82.0,82.0,,,2024-07-31 00:00:00+05:30,245.9499969482422,245.9499969482422,245.0,245.9499969482422,22000.0,0.0,0.0,0.0,
83,83.0,83.0,83.0,,,2024-08-01 00:00:00+05:30,258.20001220703125,258.20001220703125,243.25,249.75,68000.0,0.0,0.0,0.0,
84,84.0,84.0,84.0,,,2024-08-02 00:00:00+05:30,245.1000061035156,245.1000061035156,238.0,243.8000030517578,32000.0,0.0,0.0,0.0,
85,85.0,85.0,85.0,,,2024-08-05 00:00:00+05:30,232.0,232.0,231.6499938964844,231.6499938964844,12000.0,0.0,0.0,0.0,
86,86.0,86.0,86.0,,,2024-08-06 00:00:00+05:30,227.5,228.5,220.1000061035156,220.1000061035156,68000.0,0.0,0.0,0.0,
87,87.0,87.0,87.0,,,2024-08-07 00:00:00+05:30,210.1999969482422,212.0,209.1000061035156,209.1000061035156,68000.0,0.0,0.0,0.0,
88,88.0,88.0,88.0,,,2024-08-08 00:00:00+05:30,207.0,209.0,199.0,200.3500061035156,62000.0,0.0,0.0,0.0,
89,89.0,89.0,89.0,,,2024-08-09 00:00:00+05:30,208.5,210.3500061035156,208.5,210.3500061035156,18000.0,0.0,0.0,0.0,
90,90.0,90.0,90.0,,,2024-08-12 00:00:00+05:30,207.1999969482422,220.0,207.1999969482422,220.0,24000.0,0.0,0.0,0.0,
91,91.0,91.0,91.0,,,2024-08-13 00:00:00+05:30,230.75,231.0,230.75,231.0,4000.0,0.0,0.0,0.0,
92,92.0,92.0,92.0,,,2024-08-14 00:00:00+05:30,242.5500030517578,242.5500030517578,242.5500030517578,242.5500030517578,6000.0,0.0,0.0,0.0,
93,93.0,93.0,93.0,,,2024-08-16 00:00:00+05:30,254.6499938964844,254.6499938964844,238.1999969482422,253.0,46000.0,0.0,0.0,0.0,
94,94.0,94.0,94.0,,,2024-08-19 00:00:00+05:30,253.0,259.29998779296875,250.0,252.3500061035156,14000.0,0.0,0.0,0.0,
95,95.0,95.0,95.0,,,2024-08-20 00:00:00+05:30,251.0,251.0,242.3000030517578,242.3000030517578,22000.0,0.0,0.0,0.0,
96,96.0,96.0,96.0,,,2024-08-21 00:00:00+05:30,245.3999938964844,249.5,233.0,241.25,24000.0,0.0,0.0,0.0,
97,97.0,97.0,,,,2024-08-23 00:00:00+05:30,230.1000061035156,245.0,230.1000061035156,241.8500061035156,22000.0,0.0,0.0,0.0,
98,98.0,98.0,,,,2024-08-26 00:00:00+05:30,245.0,245.0,245.0,245.0,2000.0,0.0,0.0,0.0,
99,99.0,99.0,,,,2024-08-27 00:00:00+05:30,246.5,246.5,244.0,246.5,6000.0,0.0,0.0,0.0,
100,100.0,100.0,,,,2024-08-28 00:00:00+05:30,254.0,254.0,245.0,245.8500061035156,16000.0,0.0,0.0,0.0,
101,101.0,101.0,,,,2024-08-29 00:00:00+05:30,236.0,240.0,236.0,240.0,20000.0,0.0,0.0,0.0,
102,102.0,102.0,,,,2024-08-30 00:00:00+05:30,245.0,245.0,238.0,238.8500061035156,10000.0,0.0,0.0,0.0,
103,103.0,103.0,,,,2024-09-02 00:00:00+05:30,250.4499969482422,250.75,244.1000061035156,250.75,40000.0,0.0,0.0,0.0,
104,104.0,104.0,,,,2024-09-03 00:00:00+05:30,263.25,263.25,260.0,263.25,32000.0,0.0,0.0,0.0,
105,105.0,105.0,,,,2024-09-04 00:00:00+05:30,275.0,276.3999938964844,270.0,275.79998779296875,38000.0,0.0,0.0,0.0,
106,106.0,106.0,,,,2024-09-05 00:00:00+05:30,288.95001220703125,289.54998779296875,285.0,287.8500061035156,54000.0,0.0,0.0,0.0,
107,107.0,107.0,,,,2024-09-06 00:00:00+05:30,297.8500061035156,297.8500061035156,286.0,287.6000061035156,30000.0,0.0,0.0,0.0,
108,108.0,108.0,,,,2024-09-09 00:00:00+05:30,299.0,299.0,282.1499938964844,283.3999938964844,30000.0,0.0,0.0,0.0,
109,109.0,109.0,,,,2024-09-10 00:00:00+05:30,274.25,284.5,273.0,282.8500061035156,30000.0,0.0,0.0,0.0,
