,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
0,0.0,0.0,0.0,0.0,0.0,0.0,2017-06-30 00:00:00+05:30,577.7041915818145,584.4575807326353,569.1177749924133,580.30908203125,518461,0.0,0.0
1,1.0,1.0,1.0,1.0,1.0,1.0,2017-07-03 00:00:00+05:30,577.8971054550886,590.4391127521106,575.0027960788528,580.2608032226562,342564,0.0,0.0
2,2.0,2.0,2.0,2.0,2.0,2.0,2017-07-04 00:00:00+05:30,580.791447416545,585.6152966475795,576.0158249008452,577.9935913085938,248827,0.0,0.0
3,3.0,3.0,3.0,3.0,3.0,3.0,2017-07-05 00:00:00+05:30,579.6336921912267,583.3963180179402,574.5686506701996,581.2255859375,279189,0.0,0.0
4,4.0,4.0,4.0,4.0,4.0,4.0,2017-07-06 00:00:00+05:30,582.7210255663183,594.9736151987454,574.0863230959336,576.4017944335938,491197,0.0,0.0
5,5.0,5.0,5.0,5.0,5.0,5.0,2017-07-07 00:00:00+05:30,576.5464101723537,581.7561906575658,572.2049460629689,575.7263793945312,193182,0.0,0.0
6,6.0,6.0,6.0,6.0,6.0,6.0,2017-07-10 00:00:00+05:30,571.6261388466111,580.7914524652488,530.6716467421439,576.932373046875,39676,0.0,0.0
7,7.0,7.0,7.0,7.0,7.0,7.0,2017-07-11 00:00:00+05:30,575.0510813204503,609.7345706527532,574.4722429402387,586.1459350585938,1556007,0.0,0.0
8,8.0,8.0,8.0,8.0,8.0,8.0,2017-07-12 00:00:00+05:30,590.4391645245713,605.3930976130205,587.4966281776913,596.5654296875,551157,0.0,0.0
9,9.0,9.0,9.0,9.0,9.0,9.0,2017-07-13 00:00:00+05:30,602.4505121035143,674.2776353374688,594.3946489597512,655.3198852539062,3673770,0.0,0.0
10,10.0,10.0,10.0,10.0,10.0,10.0,2017-07-14 00:00:00+05:30,682.0922565809025,702.352422617959,599.1220528100996,659.420166015625,4672241,0.0,0.0
11,11.0,11.0,11.0,11.0,11.0,11.0,2017-07-17 00:00:00+05:30,652.280864212019,664.5816796520664,622.6624772799637,637.5198974609375,907124,0.0,0.0
12,12.0,12.0,12.0,12.0,12.0,12.0,2017-07-18 00:00:00+05:30,629.1746714827482,649.2900989896197,614.6548383573219,620.9258422851562,546062,0.0,0.0
13,13.0,13.0,13.0,13.0,13.0,13.0,2017-07-19 00:00:00+05:30,622.276585554864,639.1600588063526,622.276585554864,630.3806762695312,387365,0.0,0.0
14,14.0,14.0,14.0,14.0,14.0,14.0,2017-07-20 00:00:00+05:30,630.8630440476888,639.6906530622535,619.5269980302528,626.666259765625,333763,0.0,0.0
15,15.0,15.0,15.0,15.0,15.0,15.0,2017-07-21 00:00:00+05:30,628.3546138484844,633.1784632698375,609.975759330105,613.8348388671875,177971,0.0,0.0
16,16.0,16.0,16.0,16.0,16.0,16.0,2017-07-24 00:00:00+05:30,615.3301756461418,616.1502653190395,588.509586591567,593.6710815429688,183919,0.0,0.0
17,17.0,17.0,17.0,17.0,17.0,17.0,2017-07-25 00:00:00+05:30,595.2629898715704,607.8049977618953,590.9215256018426,592.8992919921875,213647,0.0,0.0
18,18.0,18.0,18.0,18.0,18.0,18.0,2017-07-26 00:00:00+05:30,595.5523660047487,598.157256155303,586.7729846699671,588.991943359375,113685,0.0,0.0
19,19.0,19.0,19.0,19.0,19.0,19.0,2017-07-27 00:00:00+05:30,590.4391040954456,590.4873308073675,564.3903200912348,568.538818359375,229771,0.0,0.0
20,20.0,20.0,20.0,20.0,20.0,20.0,2017-07-28 00:00:00+05:30,554.7426900303124,590.6321419275106,554.7426900303124,586.8212890625,302337,0.0,0.0
21,21.0,21.0,21.0,21.0,21.0,21.0,2017-07-31 00:00:00+05:30,586.8212419403852,589.2331664859684,570.9025399395363,580.164306640625,132167,0.0,0.0
22,22.0,22.0,22.0,22.0,22.0,22.0,2017-08-01 00:00:00+05:30,580.2608716179947,582.093899108078,569.3106978562806,571.9155883789062,71565,0.0,0.0
23,23.0,23.0,23.0,23.0,23.0,23.0,2017-08-02 00:00:00+05:30,572.1084343450527,576.9322828639823,559.5664281958357,560.4829711914062,91161,0.0,0.0
24,24.0,24.0,24.0,24.0,24.0,24.0,2017-08-03 00:00:00+05:30,561.4960467759419,566.7058274649276,548.8575854282352,550.6906127929688,71446,0.0,0.0
25,25.0,25.0,25.0,25.0,25.0,25.0,2017-08-04 00:00:00+05:30,550.8835155348598,553.1989864395679,543.9371617056072,548.2786254882812,75716,0.0,0.0
26,26.0,26.0,26.0,26.0,26.0,26.0,2017-08-07 00:00:00+05:30,549.9188297700117,561.4478415746222,537.3768213717483,541.2359008789062,233028,0.0,0.0
27,27.0,27.0,27.0,27.0,27.0,27.0,2017-08-08 00:00:00+05:30,542.2488235497203,544.9019403492016,525.7995111699113,536.460205078125,105378,0.0,0.0
