,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
0,0.0,0.0,0.0,0.0,0.0,0.0,2015-03-02 00:00:00+05:30,89.85800381838492,94.34847660872302,89.4215600796951,94.29998779296876,212400,0.0,0.0
1,1.0,1.0,1.0,1.0,1.0,1.0,2015-03-03 00:00:00+05:30,99.0135269165039,99.0135269165039,94.8528120478084,99.0135269165039,213555,0.0,0.0
2,2.0,2.0,2.0,2.0,2.0,2.0,2015-03-04 00:00:00+05:30,103.58161488804134,103.9598617553711,100.8659891436117,103.9598617553711,37720,0.0,0.0
3,3.0,3.0,3.0,3.0,3.0,3.0,2015-03-05 00:00:00+05:30,109.14862436833052,109.14862436833052,104.842420754246,109.13892364501952,119615,0.0,0.0
4,4.0,4.0,4.0,4.0,4.0,4.0,2015-03-09 00:00:00+05:30,112.89231184067144,112.89231184067144,103.68829307641236,103.92105865478516,57515,0.0,0.0
5,5.0,5.0,5.0,5.0,5.0,5.0,2015-03-10 00:00:00+05:30,102.80571139068834,102.80571139068834,98.73228050292649,98.81956481933594,26840,0.0,0.0
6,6.0,6.0,6.0,6.0,6.0,6.0,2015-03-11 00:00:00+05:30,99.3142022142136,100.672015032275,94.11572392756796,95.90997314453124,24590,0.0,0.0
7,7.0,7.0,7.0,7.0,7.0,7.0,2015-03-12 00:00:00+05:30,91.9432295722724,96.98652596253008,91.9432295722724,94.66854858398438,16140,0.0,0.0
8,8.0,8.0,8.0,8.0,8.0,8.0,2015-03-13 00:00:00+05:30,96.97681504259457,97.18048583776516,90.2071603858369,90.5757064819336,22900,0.0,0.0
9,9.0,9.0,9.0,9.0,9.0,9.0,2015-03-16 00:00:00+05:30,90.9733683175423,91.36130851888282,87.50124875935524,89.11122131347656,13940,0.0,0.0
10,10.0,10.0,10.0,10.0,10.0,10.0,2015-03-17 00:00:00+05:30,89.0336250336778,93.49500330911724,83.60237419455083,87.13268280029297,41215,0.0,0.0
11,11.0,11.0,11.0,11.0,11.0,11.0,2015-03-18 00:00:00+05:30,88.25773597892646,92.10810212807849,87.49154155886359,91.11883544921876,25365,0.0,0.0
12,12.0,12.0,12.0,12.0,12.0,12.0,2015-03-19 00:00:00+05:30,90.85697310872214,92.68031703850254,87.28786884230198,89.80951690673828,32755,0.0,0.0
13,13.0,13.0,13.0,13.0,13.0,13.0,2015-03-20 00:00:00+05:30,90.00348962679388,90.15866420435016,86.89991668134489,87.67581176757812,6545,0.0,0.0
14,14.0,14.0,14.0,14.0,14.0,14.0,2015-03-23 00:00:00+05:30,86.39558651661214,88.54868826321963,86.39558651661214,87.3751449584961,38265,0.0,0.0
15,15.0,15.0,15.0,15.0,15.0,15.0,2015-03-24 00:00:00+05:30,88.2771260877751,88.2771260877751,83.87394464920351,85.65849304199219,10695,0.0,0.0
16,16.0,16.0,16.0,16.0,16.0,16.0,2015-03-25 00:00:00+05:30,86.31800298587872,87.8697858293235,79.72291665188304,84.68862915039062,49760,0.0,0.0
17,17.0,17.0,17.0,17.0,17.0,17.0,2015-03-26 00:00:00+05:30,84.37827013831624,86.31800048632351,78.05475245958553,80.73157501220703,18195,0.0,0.0
18,18.0,18.0,18.0,18.0,18.0,18.0,2015-03-27 00:00:00+05:30,82.4385477981704,84.37827833459794,78.56878744985319,83.30172729492188,18940,0.0,0.0
19,19.0,19.0,19.0,19.0,19.0,19.0,2015-03-30 00:00:00+05:30,82.43855263956465,85.3481486150787,81.4686873143933,85.2220687866211,8760,0.0,0.0
20,20.0,20.0,20.0,20.0,20.0,20.0,2015-03-31 00:00:00+05:30,84.37826805711637,85.34813320719817,82.50642802147915,85.24144744873047,10005,0.0,0.0
21,21.0,21.0,21.0,21.0,21.0,21.0,2015-04-01 00:00:00+05:30,85.34813525925851,85.34813525925851,83.40840491245719,83.76725769042969,2640,0.0,0.0
22,22.0,22.0,22.0,22.0,22.0,22.0,2015-04-06 00:00:00+05:30,86.31800314111416,86.31800314111416,83.40840752961593,84.63043975830078,7545,0.0,0.0
23,23.0,23.0,23.0,23.0,23.0,23.0,2015-04-07 00:00:00+05:30,83.61208100731484,86.4925819386967,81.85662730009585,85.33843994140625,26440,0.0,0.0
24,24.0,24.0,24.0,24.0,24.0,24.0,2015-04-08 00:00:00+05:30,85.34813199902236,85.34813199902236,82.63250665744178,83.19503021240234,24375,0.0,0.0
25,25.0,25.0,25.0,25.0,25.0,25.0,2015-04-09 00:00:00+05:30,82.43855634261875,87.28788318630221,78.65607992464855,85.13478088378906,54445,0.0,0.0
26,26.0,26.0,26.0,26.0,26.0,26.0,2015-04-10 00:00:00+05:30,85.09596227320964,87.28785948319869,84.37826416709206,85.34812927246094,10430,0.0,0.0
27,27.0,27.0,27.0,27.0,27.0,27.0,2015-04-13 00:00:00+05:30,86.89993246030014,88.26744613321019,85.54211951258749,87.26848602294922,19920,0.0,0.0
28,28.0,28.0,28.0,28.0,28.0,28.0,2015-04-15 00:00:00+05:30,87.86979063119817,87.86979063119817,83.4084119376841,84.09701538085938,15225,0.0,0.0
29,29.0,29.0,29.0,29.0,29.0,29.0,2015-04-16 00:00:00+05:30,85.33843371104825,85.34813443454406,82.43853894245733,84.34917449951172,6560,0.0,0.0
30,30.0,30.0,30.0,30.0,30.0,30.0,2015-04-17 00:00:00+05:30,84.75652636629657,84.75652636629657,81.85663124619464,82.50643920898438,5890,0.0,0.0
31,31.0,31.0,31.0,31.0,31.0,31.0,2015-04-20 00:00:00+05:30,82.19606177271879,84.1842880556279,79.52893292463648,80.76065826416016,23185,0.0,0.0
32,32.0,32.0,32.0,32.0,32.0,32.0,2015-04-21 00:00:00+05:30,79.79080200195312,81.64324797551473,79.52894166930268,79.79080200195312,14675,0.0,0.0
33,33.0,33.0,33.0,33.0,33.0,33.0,2015-04-22 00:00:00+05:30,79.65502344823108,83.4956886190255,79.65502344823108,81.21650695800781,4685,0.0,0.0
34,34.0,34.0,34.0,34.0,34.0,34.0,2015-04-23 00:00:00+05:30,79.63561633867165,81.64323660773553,79.53863131784149,79.68411254882812,1770,0.0,0.0
35,35.0,35.0,35.0,35.0,35.0,35.0,2015-04-24 00:00:00+05:30,79.74231374481329,80.08176506710959,78.36510700893471,79.42225646972656,15275,0.0,0.0
36,36.0,36.0,36.0,36.0,36.0,36.0,2015-04-27 00:00:00+05:30,79.52895255500796,79.52895255500796,64.25357447279607,77.59892272949219,19470,0.0,0.0
37,37.0,37.0,37.0,37.0,37.0,37.0,2015-04-28 00:00:00+05:30,77.58921415431033,79.72291458376023,75.64948380045257,77.77349090576172,6580,0.0,0.0
38,38.0,38.0,38.0,38.0,38.0,38.0,2015-04-29 00:00:00+05:30,76.61936062963416,77.58922595405991,73.53518860198088,74.8445053100586,1520,0.0,0.0
39,39.0,39.0,39.0,39.0,39.0,39.0,2015-04-30 00:00:00+05:30,77.46312754992726,79.13128929234433,74.98026788314081,77.11397552490234,32770,0.0,0.0
40,40.0,40.0,40.0,40.0,40.0,40.0,2015-05-04 00:00:00+05:30,74.71841736636816,79.14100039756795,74.71841736636816,77.9965591430664,11615,0.0,0.0
41,41.0,41.0,41.0,41.0,41.0,41.0,2015-05-05 00:00:00+05:30,75.78528025233103,81.4686919749213,75.78528025233103,79.49016571044922,4520,0.0,0.0
42,42.0,42.0,42.0,42.0,42.0,42.0,2015-05-06 00:00:00+05:30,79.14100456599938,79.14100456599938,74.29167821514788,75.12576293945312,5005,0.0,0.0
43,43.0,43.0,43.0,43.0,43.0,43.0,2015-05-07 00:00:00+05:30,76.99759421879664,77.5989132799237,71.38207407208198,73.04054260253906,8840,0.0,0.0
44,44.0,44.0,44.0,44.0,44.0,44.0,2015-05-08 00:00:00+05:30,75.26154556857135,77.53103421132178,72.73989727622585,73.70976257324219,509115,0.0,0.0
45,45.0,45.0,45.0,45.0,45.0,45.0,2015-05-11 00:00:00+05:30,74.291677905584,79.52895182257751,74.291677905584,78.12265014648438,4710,0.0,0.0
46,46.0,46.0,46.0,46.0,46.0,46.0,2015-05-12 00:00:00+05:30,75.64948365398656,79.528944354191,74.8832892777581,77.83168029785156,1750,0.0,0.0
