,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
0,0.0,0.0,0.0,0.0,0.0,0.0,2020-09-17 00:00:00+05:30,342.23850685586274,386.1917213155404,342.23850685586274,362.7239379882813,52000357,0.0,0.0
1,1.0,1.0,1.0,1.0,1.0,1.0,2020-09-18 00:00:00+05:30,367.661954748227,372.5021972058459,349.0832921412687,350.74560546875,10745190,0.0,0.0
2,2.0,2.0,2.0,2.0,2.0,2.0,2020-09-21 00:00:00+05:30,346.1497920498651,366.1951896120748,322.97534488307656,341.65179443359375,12519290,0.0,0.0
3,3.0,3.0,3.0,3.0,3.0,3.0,2020-09-22 00:00:00+05:30,342.238533900937,350.6478295592407,327.57116816232536,346.1009521484375,4965436,0.0,0.0
4,4.0,4.0,4.0,4.0,4.0,4.0,2020-09-23 00:00:00+05:30,350.2566750161939,354.2168514815189,335.491522167777,344.48748779296875,3317252,0.0,0.0
5,5.0,5.0,5.0,5.0,5.0,5.0,2020-09-24 00:00:00+05:30,336.3716264865445,341.2607489645466,327.5712060261407,329.8201904296875,2953424,0.0,0.0
6,6.0,6.0,6.0,6.0,6.0,6.0,2020-09-25 00:00:00+05:30,335.2959412738773,377.4401739149275,332.65583360953974,355.3413391113281,15141637,0.0,0.0
7,7.0,7.0,7.0,7.0,7.0,7.0,2020-09-28 00:00:00+05:30,360.523844975671,368.0530744658103,356.95476227308086,358.9593200683594,2649488,0.0,0.0
8,8.0,8.0,8.0,8.0,8.0,8.0,2020-09-29 00:00:00+05:30,360.27935365539156,362.2350021380571,340.33171525954083,343.6563415527344,2495022,0.0,0.0
9,9.0,9.0,9.0,9.0,9.0,9.0,2020-09-30 00:00:00+05:30,342.23853626902775,356.90590210912893,336.46937834008776,341.1140441894531,3896276,0.0,0.0
10,10.0,10.0,10.0,10.0,10.0,10.0,2020-10-01 00:00:00+05:30,345.07424464632436,346.7365581583017,332.4603151287249,335.1982116699219,2171659,0.0,0.0
11,11.0,11.0,11.0,11.0,11.0,11.0,2020-10-05 00:00:00+05:30,337.34940568893586,342.92301650186823,331.48245950304135,337.83831787109375,1631905,0.0,0.0
12,12.0,12.0,12.0,12.0,12.0,12.0,2020-10-06 00:00:00+05:30,339.3050923600302,345.0253714991083,335.736038999338,342.2874450683594,1636234,0.0,0.0
13,13.0,13.0,13.0,13.0,13.0,13.0,2020-10-07 00:00:00+05:30,342.23852792826847,343.9008412859669,335.49154577442033,337.54498291015625,734114,0.0,0.0
14,14.0,14.0,14.0,14.0,14.0,14.0,2020-10-08 00:00:00+05:30,342.38517951516906,352.79900254999467,340.28286319634617,349.3766174316406,2661344,0.0,0.0
15,15.0,15.0,15.0,15.0,15.0,15.0,2020-10-09 00:00:00+05:30,347.12761594156495,351.33224836734263,342.2384945902753,342.97186279296875,930823,0.0,0.0
16,16.0,16.0,16.0,16.0,16.0,16.0,2020-10-12 00:00:00+05:30,344.19419764433553,344.19419764433553,334.415953393076,336.6160583496094,696960,0.0,0.0
17,17.0,17.0,17.0,17.0,17.0,17.0,2020-10-13 00:00:00+05:30,335.3448660968254,347.1276373435635,334.90483321174787,340.5762023925781,1134594,0.0,0.0
18,18.0,18.0,18.0,18.0,18.0,18.0,2020-10-14 00:00:00+05:30,341.4073566529661,357.68812567446594,339.59837568594827,346.2964782714844,2420189,0.0,0.0
19,19.0,19.0,19.0,19.0,19.0,19.0,2020-10-15 00:00:00+05:30,342.23847775527537,347.90984630746055,331.58019970191935,333.04693603515625,3074233,0.0,0.0
20,20.0,20.0,20.0,20.0,20.0,20.0,2020-10-16 00:00:00+05:30,335.98044632522124,336.8604822555457,315.93504752627007,318.2329406738281,2799970,0.0,0.0
21,21.0,21.0,21.0,21.0,21.0,21.0,2020-10-19 00:00:00+05:30,321.70418443722025,323.3664976305221,314.5171700933294,317.1083984375,2021509,0.0,0.0
22,22.0,22.0,22.0,22.0,22.0,22.0,2020-10-20 00:00:00+05:30,319.1618866447637,322.38872515472525,315.837289564879,317.20623779296875,893819,0.0,0.0
23,23.0,23.0,23.0,23.0,23.0,23.0,2020-10-21 00:00:00+05:30,318.33070143143794,320.23747082766005,310.41034816302135,312.21929931640625,933214,0.0,0.0
24,24.0,24.0,24.0,24.0,24.0,24.0,2020-10-22 00:00:00+05:30,313.1482750373273,317.2062404708933,310.94817006048424,313.0993957519531,1047687,0.0,0.0
25,25.0,25.0,25.0,25.0,25.0,25.0,2020-10-23 00:00:00+05:30,315.2994597623421,316.4728310263703,311.92595396649796,312.7571105957031,553193,0.0,0.0
26,26.0,26.0,26.0,26.0,26.0,26.0,2020-10-26 00:00:00+05:30,314.2727688126926,315.88617316931874,308.1124867816353,310.1659240722656,649362,0.0,0.0
27,27.0,27.0,27.0,27.0,27.0,27.0,2020-10-27 00:00:00+05:30,307.2324238192928,308.6991603496061,300.1920765374565,301.9521484375,707464,0.0,0.0
28,28.0,28.0,28.0,28.0,28.0,28.0,2020-10-28 00:00:00+05:30,303.0766953018903,321.7531181215356,302.14775015311204,313.0993957519531,2039149,0.0,0.0
29,29.0,29.0,29.0,29.0,29.0,29.0,2020-10-29 00:00:00+05:30,310.9481245264217,328.1578380155467,305.71675860160065,324.7843322753906,2498726,0.0,0.0
30,30.0,30.0,30.0,30.0,30.0,30.0,2020-10-30 00:00:00+05:30,330.01570604050846,336.37156408277013,315.4950090065601,331.4335632324219,2554270,0.0,0.0
31,31.0,31.0,31.0,31.0,31.0,31.0,2020-11-02 00:00:00+05:30,332.2647395651706,337.25165027924,327.8156502085913,332.99810791015625,1406309,0.0,0.0
