,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
0,0.0,0.0,0.0,0.0,0.0,0.0,2002-07-01 00:00:00+05:30,93.93977064890272,95.64320876540091,93.43875853877525,95.14219665527344,5616,0.0,0.0
1,1.0,1.0,1.0,1.0,1.0,1.0,2002-07-02 00:00:00+05:30,96.79553607832578,96.79553607832578,94.46583287397362,95.19229888916016,2604,0.0,0.0
2,2.0,2.0,2.0,2.0,2.0,2.0,2002-07-03 00:00:00+05:30,94.69129828721464,105.48811186956588,94.19028612696482,104.58628845214844,39195,0.0,0.0
3,3.0,3.0,3.0,3.0,3.0,3.0,2002-07-04 00:00:00+05:30,104.71153105317156,107.54224641844408,102.70748261196256,104.56122589111328,34599,0.0,0.0
4,4.0,4.0,4.0,4.0,4.0,4.0,2002-07-05 00:00:00+05:30,103.65935801289338,110.14746816871876,103.65935801289338,108.91998291015624,25949,0.0,0.0
5,5.0,5.0,5.0,5.0,5.0,5.0,2002-07-08 00:00:00+05:30,111.67557093962984,113.72972318280448,109.32081608551702,113.2036590576172,15719,0.0,0.0
6,6.0,6.0,6.0,6.0,6.0,6.0,2002-07-09 00:00:00+05:30,113.42909669402128,113.42909669402128,106.59028697980789,108.09332275390624,9025,0.0,0.0
7,7.0,7.0,7.0,7.0,7.0,7.0,2002-07-10 00:00:00+05:30,109.62143044253284,109.69657918686984,105.21252318029596,105.33777618408205,3774,0.0,0.0
8,8.0,8.0,8.0,8.0,8.0,8.0,2002-07-11 00:00:00+05:30,105.71354333585874,107.6674872874492,103.28363181736026,106.36486053466795,5356,0.0,0.0
9,9.0,9.0,9.0,9.0,9.0,9.0,2002-07-12 00:00:00+05:30,107.21656624156344,108.64445347607952,105.51312852743573,105.83878326416016,5547,0.0,0.0
10,10.0,10.0,10.0,10.0,10.0,10.0,2002-07-15 00:00:00+05:30,107.21651916622235,109.59632508229504,105.21247207900323,107.86783599853516,10120,0.0,0.0
11,11.0,11.0,11.0,11.0,11.0,11.0,2002-07-16 00:00:00+05:30,107.71759599734808,110.22265636937944,105.16243135994108,105.31273651123048,9003,0.0,0.0
12,12.0,12.0,12.0,12.0,12.0,12.0,2002-07-17 00:00:00+05:30,105.21254948919176,106.61538501134868,102.25658091862132,103.1834487915039,5057,0.0,0.0
13,13.0,13.0,13.0,13.0,13.0,13.0,2002-07-18 00:00:00+05:30,105.13738625085004,105.21253500363191,103.7596030543739,104.76162719726562,3178,0.0,0.0
14,14.0,14.0,14.0,14.0,14.0,14.0,2002-07-19 00:00:00+05:30,104.2104801004997,106.66543546801006,104.2104801004997,104.96199798583984,13342,0.0,0.0
15,15.0,15.0,15.0,15.0,15.0,15.0,2002-07-22 00:00:00+05:30,104.2104977787706,104.2104977787706,102.33170274670142,102.5321044921875,4477,0.0,0.0
16,16.0,16.0,16.0,16.0,16.0,16.0,2002-07-23 00:00:00+05:30,100.2023651269064,105.66339096838928,99.35064655229444,104.7114715576172,9114,0.0,0.0
17,17.0,17.0,17.0,17.0,17.0,17.0,2002-07-24 00:00:00+05:30,105.2125331269914,105.71354518950088,100.77857331584752,101.88080596923828,13474,0.0,0.0
18,18.0,18.0,18.0,18.0,18.0,18.0,2002-07-25 00:00:00+05:30,107.16645811295132,107.71757434193752,101.70543065773636,101.8557357788086,8127,0.0,0.0
19,19.0,19.0,19.0,19.0,19.0,19.0,2002-07-26 00:00:00+05:30,101.70541299380636,102.15632063387456,98.69934167379236,100.67833709716795,6181,0.0,0.0
20,20.0,20.0,20.0,20.0,20.0,20.0,2002-07-29 00:00:00+05:30,98.74946214818512,101.20441773835948,96.8205630095939,100.07714080810548,7886,0.0,0.0
21,21.0,21.0,21.0,21.0,21.0,21.0,2002-07-30 00:00:00+05:30,101.20439780682489,107.71755212112552,99.20035032550165,99.4258041381836,3747,0.0,0.0
22,22.0,22.0,22.0,22.0,22.0,22.0,2002-07-31 00:00:00+05:30,94.81650142496956,99.15025127232484,94.19023655426302,96.82054901123048,6680,0.0,0.0
23,23.0,23.0,23.0,23.0,23.0,23.0,2002-08-01 00:00:00+05:30,101.63028916423929,101.63028916423929,97.69734183253344,99.87674713134766,1965,0.0,0.0
24,24.0,24.0,24.0,24.0,24.0,24.0,2002-08-02 00:00:00+05:30,96.4448193468828,101.7054458567128,96.4448193468828,100.6282730102539,8513,0.0,0.0
25,25.0,25.0,25.0,25.0,25.0,25.0,2002-08-05 00:00:00+05:30,96.44477895172082,103.08318581463148,96.44477895172082,100.72843170166016,1393,0.0,0.0
26,26.0,26.0,26.0,26.0,26.0,26.0,2002-08-06 00:00:00+05:30,101.6803937253176,101.6803937253176,100.20240971104708,100.6282730102539,1344,0.0,0.0
27,27.0,27.0,27.0,27.0,27.0,27.0,2002-08-07 00:00:00+05:30,102.20643650548855,102.20643650548855,98.19834095625372,98.39874267578124,1704,0.0,0.0
28,28.0,28.0,28.0,28.0,28.0,28.0,2002-08-08 00:00:00+05:30,99.70138820648194,100.70341220855714,98.94987020492556,100.20240020751952,3878,0.0,0.0
29,29.0,29.0,29.0,29.0,29.0,29.0,2002-08-09 00:00:00+05:30,99.20034327339545,100.7033787775378,99.20034327339545,100.6532745361328,1756,0.0,0.0
30,30.0,30.0,30.0,30.0,30.0,30.0,2002-08-12 00:00:00+05:30,99.2003531611951,101.4799587653309,99.2003531611951,100.87874603271484,1848,0.0,0.0
31,31.0,31.0,31.0,31.0,31.0,31.0,2002-08-13 00:00:00+05:30,100.70341447615152,101.20442648847066,100.70341447615152,100.90381622314452,905,0.0,0.0
32,32.0,32.0,32.0,32.0,32.0,32.0,2002-08-14 00:00:00+05:30,100.20238012816776,102.70743963137195,100.20238012816776,100.7033920288086,850,0.0,0.0
33,33.0,33.0,33.0,33.0,33.0,33.0,2002-08-15 00:00:00+05:30,100.7033920288086,100.7033920288086,100.7033920288086,100.7033920288086,0,0.0,0.0
34,34.0,34.0,34.0,34.0,34.0,34.0,2002-08-16 00:00:00+05:30,101.70544309721664,102.08120212343786,100.97897717548962,101.83069610595705,2360,0.0,0.0
