,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
0,0.0,0.0,0.0,0.0,0.0,0.0,2010-12-10 00:00:00+05:30,11.513116145119852,11.513116145119852,10.95590079702523,11.228495597839355,38780,0.0,0.0
1,1.0,1.0,1.0,1.0,1.0,1.0,2010-12-13 00:00:00+05:30,11.42492285388468,11.46501045541628,11.144310407770863,11.148319244384766,10900,0.0,0.0
2,2.0,2.0,2.0,2.0,2.0,2.0,2010-12-14 00:00:00+05:30,11.184398697710924,11.344748349099577,11.1443110937119,11.164355278015137,13200,0.0,0.0
3,3.0,3.0,3.0,3.0,3.0,3.0,2010-12-15 00:00:00+05:30,11.693509509901414,12.002183066704225,11.1443110937119,11.164355278015137,6510,0.0,0.0
4,4.0,4.0,4.0,4.0,4.0,4.0,2010-12-16 00:00:00+05:30,11.156336917612569,11.236512120675773,11.144310407770863,11.148319244384766,6450,0.0,0.0
5,5.0,5.0,5.0,5.0,5.0,5.0,2010-12-20 00:00:00+05:30,11.152328195982376,11.30466093045158,11.14431052267191,11.296643257141112,3100,0.0,0.0
6,6.0,6.0,6.0,6.0,6.0,6.0,2010-12-21 00:00:00+05:30,11.144310407770863,11.148319244384766,11.144310407770863,11.148319244384766,32900,0.0,0.0
7,7.0,7.0,7.0,7.0,7.0,7.0,2010-12-22 00:00:00+05:30,12.026235579734545,12.026235579734545,11.148320168323831,11.304661750793455,7070,0.0,0.0
8,8.0,8.0,8.0,8.0,8.0,8.0,2010-12-23 00:00:00+05:30,11.30466103984731,11.30466103984731,10.66326169634402,10.755462646484377,4620,0.0,0.0
9,9.0,9.0,9.0,9.0,9.0,9.0,2010-12-24 00:00:00+05:30,11.216468543669166,11.465011074908752,10.903786916963732,11.232503890991213,20250,0.0,0.0
10,10.0,10.0,10.0,10.0,10.0,10.0,2010-12-27 00:00:00+05:30,11.224486304420465,11.50108993101234,11.224486304420465,11.244529724121094,10890,0.0,0.0
11,11.0,11.0,11.0,11.0,11.0,11.0,2010-12-28 00:00:00+05:30,11.224488258361816,11.41690787357077,11.224488258361816,11.224488258361816,13730,0.0,0.0
12,12.0,12.0,12.0,12.0,12.0,12.0,2010-12-29 00:00:00+05:30,11.228494888376805,11.36880111694336,11.22448605160548,11.36880111694336,1750,0.0,0.0
13,13.0,13.0,13.0,13.0,13.0,13.0,2010-12-30 00:00:00+05:30,11.962097547937056,11.962097547937056,11.144313036387626,11.224488258361816,27820,0.0,0.0
14,14.0,14.0,14.0,14.0,14.0,14.0,2010-12-31 00:00:00+05:30,11.224488258361816,11.224488258361816,11.224488258361816,11.224488258361816,15530,0.0,0.0
15,15.0,15.0,15.0,15.0,15.0,15.0,2011-01-03 00:00:00+05:30,11.240521452548752,11.785710257734474,11.224486105386628,11.509106636047363,11450,0.0,0.0
16,16.0,16.0,16.0,16.0,16.0,16.0,2011-01-04 00:00:00+05:30,11.625362273144052,11.8658871627513,11.30867100282954,11.336732864379885,21410,0.0,0.0
17,17.0,17.0,17.0,17.0,17.0,17.0,2011-01-05 00:00:00+05:30,11.785710734347438,12.819966965298985,11.785710734347438,12.322882652282717,774180,0.0,0.0
18,18.0,18.0,18.0,18.0,18.0,18.0,2011-01-06 00:00:00+05:30,12.431120060355395,12.507286440006116,11.825799389673444,12.234691619873049,107180,0.0,0.0
