,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
0,0.0,0.0,0.0,0.0,0.0,0.0,2002-07-01 00:00:00+05:30,12.506617120935058,13.04667573845961,12.385814517602354,12.648736953735352,6870815,0.0,0.0
1,1.0,1.0,1.0,1.0,1.0,1.0,2002-07-02 00:00:00+05:30,12.790857110622872,13.089310497418792,12.378707324606411,12.54214572906494,4935260,0.0,0.0
2,2.0,2.0,2.0,2.0,2.0,2.0,2002-07-03 00:00:00+05:30,12.506615608940985,12.755326980483526,12.094465839521437,12.17263126373291,2127715,0.0,0.0
3,3.0,3.0,3.0,3.0,3.0,3.0,2002-07-04 00:00:00+05:30,12.49240418392258,12.620312976598573,12.222375564670628,12.336071968078612,1595585,0.0,0.0
4,4.0,4.0,4.0,4.0,4.0,4.0,2002-07-05 00:00:00+05:30,12.542145811202676,12.76243241671412,12.22237519456374,12.414237022399902,2502730,0.0,0.0
5,5.0,5.0,5.0,5.0,5.0,5.0,2002-07-08 00:00:00+05:30,12.634524049670238,12.897446446898352,12.293433519611211,12.350281715393066,2363370,0.0,0.0
6,6.0,6.0,6.0,6.0,6.0,6.0,2002-07-09 00:00:00+05:30,12.3787076886152,12.53503990329856,12.087360487624196,12.129996299743652,1198400,0.0,0.0
7,7.0,7.0,7.0,7.0,7.0,7.0,2002-07-10 00:00:00+05:30,12.208163649286648,12.314753862198137,11.68231742427095,11.796013832092283,1113030,0.0,0.0
8,8.0,8.0,8.0,8.0,8.0,8.0,2002-07-11 00:00:00+05:30,11.76048196223216,11.938132755349674,11.419392764734852,11.497559547424316,1277940,0.0,0.0
9,9.0,9.0,9.0,9.0,9.0,9.0,2002-07-12 00:00:00+05:30,13.792806241362442,13.792806241362442,11.511770911370656,11.62546730041504,881365,0.0,0.0
