,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
0,0.0,0.0,0.0,0.0,0.0,0.0,2016-09-29 00:00:00+05:30,133.40087699342055,135.3977533062184,105.22548566550228,113.4564971923828,30568,0.0,0.0
1,1.0,1.0,1.0,1.0,1.0,1.0,2016-09-30 00:00:00+05:30,120.56731164034214,124.19577495161307,112.01971858380789,121.27352142333984,5336,0.0,0.0
2,2.0,2.0,2.0,2.0,2.0,2.0,2016-10-03 00:00:00+05:30,115.9160617484573,128.77397486889333,115.9160617484573,125.6082000732422,3024,0.0,0.0
3,3.0,3.0,3.0,3.0,3.0,3.0,2016-10-04 00:00:00+05:30,121.76055908203124,127.11802368164062,121.76055908203124,126.6309814453125,58,0.0,0.0
4,4.0,4.0,4.0,4.0,4.0,4.0,2016-10-05 00:00:00+05:30,123.70873721880405,123.70873721880405,122.24761040125912,123.22169494628906,1536,0.0,0.0
5,5.0,5.0,5.0,5.0,5.0,5.0,2016-10-06 00:00:00+05:30,123.22170072694514,126.14395449912566,120.78648925012804,121.1761245727539,2610,0.0,0.0
6,6.0,6.0,6.0,6.0,6.0,6.0,2016-10-07 00:00:00+05:30,130.527329279659,130.527329279659,117.3771878970068,120.17768096923828,22694,0.0,0.0
7,7.0,7.0,7.0,7.0,7.0,7.0,2016-10-10 00:00:00+05:30,119.81239265555384,121.76056164182302,117.9859842309265,118.01033782958984,1526,0.0,0.0
8,8.0,8.0,8.0,8.0,8.0,8.0,2016-10-13 00:00:00+05:30,118.01034765983094,126.09524516731358,113.96789519025184,117.01190948486328,1142,0.0,0.0
9,9.0,9.0,9.0,9.0,9.0,9.0,2016-10-14 00:00:00+05:30,116.89014223349687,126.38746628996849,116.89014223349687,121.22481536865234,1112,0.0,0.0
10,10.0,10.0,10.0,10.0,10.0,10.0,2016-10-17 00:00:00+05:30,121.151763736916,123.70873563488108,115.42901710813706,117.81552124023438,3282,0.0,0.0
11,11.0,11.0,11.0,11.0,11.0,11.0,2016-10-18 00:00:00+05:30,116.8901361510176,121.27351625668078,116.8901361510176,117.5232925415039,2356,0.0,0.0
12,12.0,12.0,12.0,12.0,12.0,12.0,2016-10-19 00:00:00+05:30,118.64350443666144,121.7605721100074,118.61915083590432,119.42276763916016,3504,0.0,0.0
13,13.0,13.0,13.0,13.0,13.0,13.0,2016-10-20 00:00:00+05:30,119.32534887821122,121.02999671932852,116.54920959472656,116.54920959472656,864,0.0,0.0
14,14.0,14.0,14.0,14.0,14.0,14.0,2016-10-21 00:00:00+05:30,116.52485979765233,126.14394435775112,116.52485979765233,121.56575012207033,2968,0.0,0.0
15,15.0,15.0,15.0,15.0,15.0,15.0,2016-10-24 00:00:00+05:30,121.51703796386718,138.56351623535156,121.51703796386718,133.93661499023438,44296,0.0,0.0
16,16.0,16.0,16.0,16.0,16.0,16.0,2016-10-25 00:00:00+05:30,145.8447819940773,145.86912815694487,131.5013843151089,133.81483459472656,44966,0.0,0.0
17,17.0,17.0,17.0,17.0,17.0,17.0,2016-10-26 00:00:00+05:30,133.69308631301152,133.69308631301152,124.43928434599069,128.14080810546875,23524,0.0,0.0
18,18.0,18.0,18.0,18.0,18.0,18.0,2016-10-27 00:00:00+05:30,123.24604314631053,131.50140781740126,120.54295716595117,124.95068359375,24196,0.0,0.0
19,19.0,19.0,19.0,19.0,19.0,19.0,2016-10-28 00:00:00+05:30,124.92634394799236,128.53045382216487,121.73621554992494,122.27196502685548,32366,0.0,0.0
20,20.0,20.0,20.0,20.0,20.0,20.0,2016-11-01 00:00:00+05:30,131.2578933985584,132.67031302646643,123.75744531988236,126.21700286865234,2576,0.0,0.0
21,21.0,21.0,21.0,21.0,21.0,21.0,2016-11-02 00:00:00+05:30,123.05122413247808,133.93662162642286,122.73464963584932,130.94131469726562,29064,0.0,0.0
22,22.0,22.0,22.0,22.0,22.0,22.0,2016-11-03 00:00:00+05:30,129.55324864453505,131.50141779708446,124.82893250426234,125.48644256591795,24008,0.0,0.0
23,23.0,23.0,23.0,23.0,23.0,23.0,2016-11-04 00:00:00+05:30,126.1439424057701,126.1439424057701,117.62070305402888,120.42119598388672,3382,0.0,0.0
24,24.0,24.0,24.0,24.0,24.0,24.0,2016-11-07 00:00:00+05:30,122.32065862283513,128.55480836673587,122.15019829363216,124.34188842773438,1404,0.0,0.0
25,25.0,25.0,25.0,25.0,25.0,25.0,2016-11-08 00:00:00+05:30,124.19577217493872,125.65689890640856,122.34501016207524,124.12271881103516,7426,0.0,0.0
26,26.0,26.0,26.0,26.0,26.0,26.0,2016-11-09 00:00:00+05:30,116.84143922628098,120.73777744050196,101.30479356974504,117.10931396484376,8262,0.0,0.0
27,27.0,27.0,27.0,27.0,27.0,27.0,2016-11-10 00:00:00+05:30,126.11960471129112,126.11960471129112,119.0574841994601,121.6144561767578,180,0.0,0.0
28,28.0,28.0,28.0,28.0,28.0,28.0,2016-11-11 00:00:00+05:30,115.42901521663022,115.42901521663022,108.70783056578256,109.99849700927734,3250,0.0,0.0
29,29.0,29.0,29.0,29.0,29.0,29.0,2016-11-15 00:00:00+05:30,110.55859033082989,110.55859033082989,90.20022287168128,102.18146514892578,5288,0.0,0.0
30,30.0,30.0,30.0,30.0,30.0,30.0,2016-11-16 00:00:00+05:30,102.27887631241676,106.66225672580605,91.07690414486636,99.2835693359375,4928,0.0,0.0
31,31.0,31.0,31.0,31.0,31.0,31.0,2016-11-17 00:00:00+05:30,102.27887294089147,102.27887294089147,94.24267578125,94.24267578125,17442,0.0,0.0
32,32.0,32.0,32.0,32.0,32.0,32.0,2016-11-18 00:00:00+05:30,98.28512477735056,106.66224975585938,92.5136713041924,102.27886962890624,6498,0.0,0.0
33,33.0,33.0,33.0,33.0,33.0,33.0,2016-11-21 00:00:00+05:30,102.7659193526867,105.5420588156896,101.79183480905932,104.7140884399414,5088,0.0,0.0
34,34.0,34.0,34.0,34.0,34.0,34.0,2016-11-22 00:00:00+05:30,101.35349347105618,104.71408196613667,97.87113698387512,103.44776916503906,1540,0.0,0.0
35,35.0,35.0,35.0,35.0,35.0,35.0,2016-11-23 00:00:00+05:30,109.77932491235076,109.77932491235076,107.14929962158205,107.14929962158205,182,0.0,0.0
36,36.0,36.0,36.0,36.0,36.0,36.0,2016-11-24 00:00:00+05:30,95.50899337202247,107.0518938360426,95.50899337202247,104.37316131591795,334,0.0,0.0
37,37.0,37.0,37.0,37.0,37.0,37.0,2016-11-25 00:00:00+05:30,103.73999993177252,106.6622534509774,103.3016648765618,104.5679702758789,432,0.0,0.0
38,38.0,38.0,38.0,38.0,38.0,38.0,2016-11-28 00:00:00+05:30,102.27887674967448,109.58451080322266,102.27887674967448,109.58451080322266,970,0.0,0.0
39,39.0,39.0,39.0,39.0,39.0,39.0,2016-11-29 00:00:00+05:30,111.04563761393229,111.04563761393229,107.27106001959906,109.58451080322266,1908,0.0,0.0
40,40.0,40.0,40.0,40.0,40.0,40.0,2016-11-30 00:00:00+05:30,108.12338568239797,115.3072592806654,107.24670809593532,107.392822265625,284,0.0,0.0
41,41.0,41.0,41.0,41.0,41.0,41.0,2016-12-01 00:00:00+05:30,105.24984192263877,111.41092392320826,104.68973882970256,104.8602066040039,2184,0.0,0.0
42,42.0,42.0,42.0,42.0,42.0,42.0,2016-12-02 00:00:00+05:30,107.02754096830324,107.07624816894533,107.02754096830324,107.07624816894533,52,0.0,0.0
43,43.0,43.0,43.0,43.0,43.0,43.0,2016-12-05 00:00:00+05:30,111.77620372149283,111.77620372149283,105.2011329143462,109.77932739257812,778,0.0,0.0
44,44.0,44.0,44.0,44.0,44.0,44.0,2016-12-06 00:00:00+05:30,107.14928925757106,107.14928925757106,104.22703591418276,104.5192642211914,2216,0.0,0.0
45,45.0,45.0,45.0,45.0,45.0,45.0,2016-12-07 00:00:00+05:30,107.14929474863992,107.14929474863992,102.96072843579584,103.69129180908205,668,0.0,0.0
46,46.0,46.0,46.0,46.0,46.0,46.0,2016-12-08 00:00:00+05:30,107.14928579715436,107.14928579715436,105.10371000917988,105.56639862060548,944,0.0,0.0
47,47.0,47.0,47.0,47.0,47.0,47.0,2016-12-09 00:00:00+05:30,108.85395050048828,108.85395050048828,108.85395050048828,108.85395050048828,144,0.0,0.0
48,48.0,48.0,48.0,48.0,48.0,48.0,2016-12-12 00:00:00+05:30,107.14929316089552,107.14929316089552,104.66537475585938,104.66537475585938,808,0.0,0.0
49,49.0,49.0,49.0,49.0,49.0,49.0,2016-12-13 00:00:00+05:30,107.1492975048494,109.56015521237347,104.714086197921,107.53893280029295,450,0.0,0.0
50,50.0,50.0,50.0,50.0,50.0,50.0,2016-12-14 00:00:00+05:30,100.64727922527064,107.1492963152526,100.50117249381717,103.934814453125,3828,0.0,0.0
51,51.0,51.0,51.0,51.0,51.0,51.0,2016-12-15 00:00:00+05:30,110.99693058986873,110.99693058986873,104.81149523441246,107.14929962158205,994,0.0,0.0
52,52.0,52.0,52.0,52.0,52.0,52.0,2016-12-16 00:00:00+05:30,104.86020149954958,106.56484943288098,103.0094393998833,104.15399169921876,1464,0.0,0.0
53,53.0,53.0,53.0,53.0,53.0,53.0,2016-12-19 00:00:00+05:30,103.27731240038156,103.27731240038156,100.47681941403036,100.57422637939452,1712,0.0,0.0
54,54.0,54.0,54.0,54.0,54.0,54.0,2016-12-20 00:00:00+05:30,107.14928588721232,107.14928588721232,99.60013165424962,100.37940216064452,464,0.0,0.0
55,55.0,55.0,55.0,55.0,55.0,55.0,2016-12-21 00:00:00+05:30,102.23016282253316,102.25451642077742,99.2348560303603,100.74468994140624,404,0.0,0.0
56,56.0,56.0,56.0,56.0,56.0,56.0,2016-12-22 00:00:00+05:30,97.89549004842766,104.20268555775012,97.89549004842766,102.2545166015625,744,0.0,0.0
57,57.0,57.0,57.0,57.0,57.0,57.0,2016-12-23 00:00:00+05:30,101.79181946938084,101.79181946938084,97.408439683618,98.01724243164062,768,0.0,0.0
58,58.0,58.0,58.0,58.0,58.0,58.0,2016-12-26 00:00:00+05:30,97.40845078353271,104.6897309932668,95.48463536689296,100.3063507080078,600,0.0,0.0
59,59.0,59.0,59.0,59.0,59.0,59.0,2016-12-27 00:00:00+05:30,97.4084535823294,98.86958038606434,91.10125769920862,94.12091827392578,4326,0.0,0.0
60,60.0,60.0,60.0,60.0,60.0,60.0,2016-12-28 00:00:00+05:30,96.70223791760932,97.40844767693213,90.00540713982025,91.00384521484376,5554,0.0,0.0
