,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
0,0.0,0.0,0.0,0.0,0.0,0.0,2002-07-01 00:00:00+05:30,10.616977081884986,12.303202935099284,10.616977081884986,12.157479286193848,859898,0.0,0.0
1,1.0,1.0,1.0,1.0,1.0,1.0,2002-07-02 00:00:00+05:30,12.074207358868824,12.657100133881256,11.65785550024864,11.678672790527344,338715,0.0,0.0
2,2.0,2.0,2.0,2.0,2.0,2.0,2002-07-03 00:00:00+05:30,12.074207931982672,12.074207931982672,11.553767867824035,11.699491500854492,130464,0.0,0.0
3,3.0,3.0,3.0,3.0,3.0,3.0,2002-07-04 00:00:00+05:30,11.657855997638796,13.906156303057188,11.657855997638796,13.094270706176758,2354149,0.0,0.0
4,4.0,4.0,4.0,4.0,4.0,4.0,2002-07-05 00:00:00+05:30,13.614710392186105,13.843704047587211,12.573830297584868,12.761188507080078,234858,0.0,0.0
5,5.0,5.0,5.0,5.0,5.0,5.0,2002-07-08 00:00:00+05:30,13.697980428074716,14.155966874450195,12.34483665011239,13.198358535766602,851514,0.0,0.0
6,6.0,6.0,6.0,6.0,6.0,6.0,2002-07-09 00:00:00+05:30,13.323265195373974,13.53144157885585,12.698736909649314,12.886096000671388,141736,0.0,0.0
7,7.0,7.0,7.0,7.0,7.0,7.0,2002-07-10 00:00:00+05:30,12.719554008954548,13.198358613475891,12.074207619722085,12.324019432067873,90391,0.0,0.0
8,8.0,8.0,8.0,8.0,8.0,8.0,2002-07-11 00:00:00+05:30,12.324019939013,13.364900083227564,12.178296303756916,12.428107261657717,414726,0.0,0.0
9,9.0,9.0,9.0,9.0,9.0,9.0,2002-07-12 00:00:00+05:30,12.698736795863834,12.865276863491916,12.199113998816722,12.240750312805176,82363,0.0,0.0
10,10.0,10.0,10.0,10.0,10.0,10.0,2002-07-15 00:00:00+05:30,12.074207976198789,12.157478006291903,11.699491543698388,11.782761573791504,221700,0.0,0.0
11,11.0,11.0,11.0,11.0,11.0,11.0,2002-07-16 00:00:00+05:30,11.449681462553608,11.657856986035103,10.63779406739654,10.700246810913086,80811,0.0,0.0
12,12.0,12.0,12.0,12.0,12.0,12.0,2002-07-17 00:00:00+05:30,10.20062425257953,10.658611587451396,9.409555062397043,9.950813293457031,141673,0.0,0.0
13,13.0,13.0,13.0,13.0,13.0,13.0,2002-07-18 00:00:00+05:30,10.367165702398786,10.783517610147026,9.992448380120688,10.054901123046877,78977,0.0,0.0
14,14.0,14.0,14.0,14.0,14.0,14.0,2002-07-19 00:00:00+05:30,10.242258656013584,10.325529550738777,9.701002163904416,9.784272193908691,23973,0.0,0.0
15,15.0,15.0,15.0,15.0,15.0,15.0,2002-07-22 00:00:00+05:30,8.535214826300885,9.409553944031646,8.535214826300885,8.826662063598633,58336,0.0,0.0
16,16.0,16.0,16.0,16.0,16.0,16.0,2002-07-23 00:00:00+05:30,8.368675193251415,8.993203476686014,8.11886422576596,8.285405158996582,132624,0.0,0.0
17,17.0,17.0,17.0,17.0,17.0,17.0,2002-07-24 00:00:00+05:30,8.32703910192673,8.701756388993177,7.53597167567782,7.640058994293213,63978,0.0,0.0
18,18.0,18.0,18.0,18.0,18.0,18.0,2002-07-25 00:00:00+05:30,7.931504972951306,8.327039573181255,7.910687680994286,8.118864059448242,81839,0.0,0.0
19,19.0,19.0,19.0,19.0,19.0,19.0,2002-07-26 00:00:00+05:30,8.056411138267594,8.056411138267594,7.202889648708296,7.3902482986450195,76638,0.0,0.0
20,20.0,20.0,20.0,20.0,20.0,20.0,2002-07-29 00:00:00+05:30,6.245280254633324,7.494335440839087,5.933015701451095,6.266097545623779,145155,0.0,0.0
21,21.0,21.0,21.0,21.0,21.0,21.0,2002-07-30 00:00:00+05:30,6.661632764613739,6.661632764613739,5.745657605534105,5.912198543548584,85837,0.0,0.0
22,22.0,22.0,22.0,22.0,22.0,22.0,2002-07-31 00:00:00+05:30,5.641569096073269,6.203644146950137,4.93377041947082,6.016286373138428,129946,0.0,0.0
23,23.0,23.0,23.0,23.0,23.0,23.0,2002-08-01 00:00:00+05:30,6.16200921903017,7.036348452614276,6.05792189445566,6.1203742027282715,116309,0.0,0.0
