,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
0,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-16 00:00:00+05:30,2.2683301178173862,2.2856454410295313,2.089801279703776,2.239072799682617,158080,0.0,0.0
1,1.0,1.0,1.0,1.0,1.0,1.0,2009-06-17 00:00:00+05:30,2.301766647414809,2.301766647414809,2.101742914360894,2.2122037410736084,19280,0.0,0.0
2,2.0,2.0,2.0,2.0,2.0,2.0,2009-06-18 00:00:00+05:30,2.165033718410094,2.209218182274485,2.0300923837116893,2.042034149169922,22720,0.0,0.0
3,3.0,3.0,3.0,3.0,3.0,3.0,2009-06-19 00:00:00+05:30,2.167422505184111,2.197276810290697,2.0300927472478683,2.113684892654419,15040,0.0,0.0
4,4.0,4.0,4.0,4.0,4.0,4.0,2009-06-22 00:00:00+05:30,2.237878507659498,2.237878507659498,2.0778594266369605,2.0784566402435303,19200,0.0,0.0
5,5.0,5.0,5.0,5.0,5.0,5.0,2009-06-23 00:00:00+05:30,2.172795941768666,2.203247455659324,2.0432283876545805,2.065917491912842,53440,0.0,0.0
6,6.0,6.0,6.0,6.0,6.0,6.0,2009-06-24 00:00:00+05:30,2.065917491912842,2.065917491912842,2.065917491912842,2.065917491912842,0,0.0,0.0
7,7.0,7.0,7.0,7.0,7.0,7.0,2009-06-25 00:00:00+05:30,2.510330058672881,2.521140110943227,2.198640829129854,2.399827480316162,260960,0.0125,0.0
8,8.0,8.0,8.0,8.0,8.0,8.0,2009-06-26 00:00:00+05:30,2.624436118580809,2.624436118580809,2.3067411705795844,2.467090129852295,225120,0.0,0.0
9,9.0,9.0,9.0,9.0,9.0,9.0,2009-06-29 00:00:00+05:30,2.366196340089392,2.6232348440221256,2.18602911304993,2.4364614486694336,272080,0.0,0.0
10,10.0,10.0,10.0,10.0,10.0,10.0,2009-06-30 00:00:00+05:30,2.2947298741881506,2.474296645709971,2.2947298741881506,2.3463778495788574,54080,0.0,0.0
11,11.0,11.0,11.0,11.0,11.0,11.0,2009-07-01 00:00:00+05:30,2.4118383408414696,2.414240625256414,1.9542136981393108,2.3115453720092773,212720,0.0,0.0
