,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
0,0.0,0.0,0.0,0.0,0.0,0.0,2002-07-01 00:00:00+05:30,3.851093662271873,4.159181970295319,3.350451329111203,3.889604806900024,138632,0.0,0.0
1,1.0,1.0,1.0,1.0,1.0,1.0,2002-07-02 00:00:00+05:30,4.621313368401272,4.621313368401272,3.966626851539288,4.043648719787598,101653,0.0,0.0
2,2.0,2.0,2.0,2.0,2.0,2.0,2002-07-03 00:00:00+05:30,4.390246743755904,4.390246743755904,3.9666263135906017,4.159181594848633,82630,0.0,0.0
3,3.0,3.0,3.0,3.0,3.0,3.0,2002-07-04 00:00:00+05:30,4.236203901415033,4.736846242418757,4.005137879028014,4.505780220031738,107754,0.0,0.0
4,4.0,4.0,4.0,4.0,4.0,4.0,2002-07-05 00:00:00+05:30,4.621313123225609,4.775356427048828,4.236203802415361,4.274714946746826,82757,0.0,0.0
5,5.0,5.0,5.0,5.0,5.0,5.0,2002-07-08 00:00:00+05:30,4.659823903917761,5.160466194152832,4.505779763113946,5.160466194152832,219780,0.0,0.0
6,6.0,6.0,6.0,6.0,6.0,6.0,2002-07-09 00:00:00+05:30,5.5455758895959395,5.930685237935746,5.353021003175582,5.4685540199279785,284297,0.0,0.0
7,7.0,7.0,7.0,7.0,7.0,7.0,2002-07-10 00:00:00+05:30,5.468553424938935,5.62259757201547,5.0449329756054055,5.083444118499756,96142,0.0,0.0
8,8.0,8.0,8.0,8.0,8.0,8.0,2002-07-11 00:00:00+05:30,5.006422273275778,5.237488282381559,4.621312965600918,4.736845970153809,46484,0.0,0.0
9,9.0,9.0,9.0,9.0,9.0,9.0,2002-07-12 00:00:00+05:30,4.813867223433783,4.929400233764604,4.582802051773911,4.8523783683776855,55151,0.0,0.0
10,10.0,10.0,10.0,10.0,10.0,10.0,2002-07-15 00:00:00+05:30,4.775356260277706,4.775356260277706,4.3902469529167405,4.582801818847656,104592,0.0,0.0
11,11.0,11.0,11.0,11.0,11.0,11.0,2002-07-16 00:00:00+05:30,4.467268818030108,5.006422273275778,4.236203657926057,4.736845970153809,64984,0.0,0.0
12,12.0,12.0,12.0,12.0,12.0,12.0,2002-07-17 00:00:00+05:30,4.6983351785317105,4.6983351785317105,3.928115656574339,4.544291019439697,122708,0.0,0.0
13,13.0,13.0,13.0,13.0,13.0,13.0,2002-07-18 00:00:00+05:30,4.6213128725887085,4.77535616805739,4.159181712680095,4.390246868133545,60328,0.0,0.0
14,14.0,14.0,14.0,14.0,14.0,14.0,2002-07-19 00:00:00+05:30,4.544291037130328,4.544291037130328,3.5430065461396945,3.6585397720336914,70111,0.0,0.0
15,15.0,15.0,15.0,15.0,15.0,15.0,2002-07-22 00:00:00+05:30,3.4659845000360656,3.4659845000360656,3.003853289964711,3.0808751583099365,27817,0.0,0.0
16,16.0,16.0,16.0,16.0,16.0,16.0,2002-07-23 00:00:00+05:30,3.1578969974381614,3.388962160304622,3.080874922731949,3.311941146850586,51196,0.0,0.0
17,17.0,17.0,17.0,17.0,17.0,17.0,2002-07-24 00:00:00+05:30,3.2349193042013265,3.4659844836432487,3.196408370210856,3.3504514694213867,11673,0.0,0.0
18,18.0,18.0,18.0,18.0,18.0,18.0,2002-07-25 00:00:00+05:30,3.4274731799567424,3.5815171115535023,3.3504511080331487,3.543006181716919,7591,0.0,0.0
19,19.0,19.0,19.0,19.0,19.0,19.0,2002-07-26 00:00:00+05:30,3.2349192068826644,3.4659843793732685,3.1193861961364746,3.1193861961364746,23370,0.0,0.0
20,20.0,20.0,20.0,20.0,20.0,20.0,2002-07-29 00:00:00+05:30,3.0808751962608127,3.0808751962608127,2.618743980496827,2.9268312454223633,12477,0.0,0.0
21,21.0,21.0,21.0,21.0,21.0,21.0,2002-07-30 00:00:00+05:30,3.003852944489868,3.1578968757140906,2.888319730758667,2.888319730758667,15507,0.0,0.0
22,22.0,22.0,22.0,22.0,22.0,22.0,2002-07-31 00:00:00+05:30,2.7342766485361527,2.965341802495992,2.7342766485361527,2.888319730758667,9380,0.0,0.0
23,23.0,23.0,23.0,23.0,23.0,23.0,2002-08-01 00:00:00+05:30,3.08087494205619,3.08087494205619,2.541721689233573,2.657254695892334,33293,0.0,0.0
24,24.0,24.0,24.0,24.0,24.0,24.0,2002-08-02 00:00:00+05:30,2.7727878423809096,2.7727878423809096,2.4646997383373934,2.618743896484375,25672,0.0,0.0
25,25.0,25.0,25.0,25.0,25.0,25.0,2002-08-05 00:00:00+05:30,2.6187439932115923,2.7727879447979698,2.503210976459195,2.7342770099639893,15863,0.0,0.0
26,26.0,26.0,26.0,26.0,26.0,26.0,2002-08-06 00:00:00+05:30,2.6187440904823345,2.7727880477905273,2.6187440904823345,2.7727880477905273,3640,0.0,0.0
27,27.0,27.0,27.0,27.0,27.0,27.0,2002-08-07 00:00:00+05:30,2.8112990918824057,2.8883201125485463,2.6957660751300088,2.7342770099639893,14334,0.0,0.0
28,28.0,28.0,28.0,28.0,28.0,28.0,2002-08-08 00:00:00+05:30,2.695765611881068,2.8112986087799072,2.618743543198369,2.8112986087799072,8871,0.0,0.0
29,29.0,29.0,29.0,29.0,29.0,29.0,2002-08-09 00:00:00+05:30,2.6572544498791633,2.6572544498791633,2.3106563109932763,2.5802323818206787,120726,0.0,0.0
30,30.0,30.0,30.0,30.0,30.0,30.0,2002-08-12 00:00:00+05:30,2.5032108839993623,2.618743896484375,2.5032108839993623,2.618743896484375,1762,0.0,0.0
31,31.0,31.0,31.0,31.0,31.0,31.0,2002-08-13 00:00:00+05:30,2.580232754294645,2.580232754294645,2.5032108873679526,2.541721820831299,6821,0.0,0.0
32,32.0,32.0,32.0,32.0,32.0,32.0,2002-08-14 00:00:00+05:30,2.618743791166188,2.618743791166188,2.3876775632385203,2.426188707351685,19715,0.0,0.0
33,33.0,33.0,33.0,33.0,33.0,33.0,2002-08-15 00:00:00+05:30,2.426188707351685,2.426188707351685,2.426188707351685,2.426188707351685,0,0.0,0.0
34,34.0,34.0,34.0,34.0,34.0,34.0,2002-08-16 00:00:00+05:30,2.4261888049258715,2.618743896484375,2.4261888049258715,2.618743896484375,8593,0.0,0.0
35,35.0,35.0,35.0,35.0,35.0,35.0,2002-08-19 00:00:00+05:30,2.657254829895897,2.657254829895897,2.541721817410884,2.618743896484375,26930,0.0,0.0
36,36.0,36.0,36.0,36.0,36.0,36.0,2002-08-20 00:00:00+05:30,2.580232975749186,2.7342771473246676,2.541722038980548,2.6957662105560303,12251,0.0,0.0
37,37.0,37.0,37.0,37.0,37.0,37.0,2002-08-21 00:00:00+05:30,2.772787702551095,2.772787702551095,2.6187437644228924,2.657254695892334,9708,0.0,0.0
38,38.0,38.0,38.0,38.0,38.0,38.0,2002-08-22 00:00:00+05:30,2.6572547230289127,2.6572547230289127,2.3876775632385203,2.426188707351685,10414,0.0,0.0
39,39.0,39.0,39.0,39.0,39.0,39.0,2002-08-23 00:00:00+05:30,2.4646997416541585,2.6187439000084387,2.4646997416541585,2.541721820831299,3236,0.0,0.0
40,40.0,40.0,40.0,40.0,40.0,40.0,2002-08-26 00:00:00+05:30,2.5032108909470803,2.54172182446549,2.4646997451782227,2.4646997451782227,2831,0.0,0.0
41,41.0,41.0,41.0,41.0,41.0,41.0,2002-08-27 00:00:00+05:30,2.4646997451782227,2.6187439037527573,2.3876776658909553,2.4646997451782227,9810,0.0,0.0
42,42.0,42.0,42.0,42.0,42.0,42.0,2002-08-28 00:00:00+05:30,2.387677427628099,2.387677427628099,2.3491673469543457,2.3491673469543457,6999,0.0,0.0
