,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
0,0.0,0.0,0.0,0.0,0.0,2017-10-09 00:00:00+05:30,49.9185676574707,49.9185676574707,49.9185676574707,49.9185676574707,177000,0.0,0.0
1,1.0,1.0,1.0,1.0,1.0,2017-10-10 00:00:00+05:30,59.902286529541016,59.902286529541016,59.902286529541016,59.902286529541016,243000,0.0,0.0
2,2.0,2.0,2.0,2.0,2.0,2017-10-11 00:00:00+05:30,70.07088479284538,71.87349700927734,66.92786229121457,71.87349700927734,3471000,0.0,0.0
3,3.0,3.0,3.0,3.0,3.0,2017-10-12 00:00:00+05:30,78.85285421584226,79.03773498535156,78.85285421584226,79.03773498535156,348000,0.0,0.0
4,4.0,4.0,4.0,4.0,4.0,2017-10-13 00:00:00+05:30,86.71040856859302,86.94151306152344,82.41186358953735,86.94151306152344,1923000,0.0,0.0
5,5.0,5.0,5.0,5.0,5.0,2017-10-16 00:00:00+05:30,95.63102722167967,95.63102722167967,91.79469864756612,95.63102722167967,243000,0.0,0.0
6,6.0,6.0,6.0,6.0,6.0,2017-10-17 00:00:00+05:30,100.39178466796876,100.39178466796876,92.9040009290158,100.39178466796876,783000,0.0,0.0
7,7.0,7.0,7.0,7.0,7.0,2017-10-18 00:00:00+05:30,105.38365173339844,105.38365173339844,101.824643852952,105.38365173339844,588000,0.0,0.0
8,8.0,8.0,8.0,8.0,8.0,2017-10-19 00:00:00+05:30,109.77462543744588,109.82084915346648,100.1144612200502,101.31620025634766,237000,0.0,0.0
9,9.0,9.0,9.0,9.0,9.0,2017-10-23 00:00:00+05:30,102.98015402170738,105.33741540189342,96.92521404079564,97.01765441894533,330000,0.0,0.0
10,10.0,10.0,10.0,10.0,10.0,2017-10-24 00:00:00+05:30,97.98830075006602,99.37492764747262,92.21068867753854,94.61417388916016,378000,0.0,0.0
11,11.0,11.0,11.0,11.0,11.0,2017-10-25 00:00:00+05:30,97.06387585638966,99.32869680527264,97.06387585638966,97.94207000732422,246000,0.0,0.0
12,12.0,12.0,12.0,12.0,12.0,2017-10-26 00:00:00+05:30,99.37492924628305,102.79527282714844,99.00516065714238,102.79527282714844,153000,0.0,0.0
13,13.0,13.0,13.0,13.0,13.0,2017-10-27 00:00:00+05:30,107.92579650878906,107.92579650878906,106.77027406222815,107.92579650878906,66000,0.0,0.0
14,14.0,14.0,14.0,14.0,14.0,2017-10-30 00:00:00+05:30,113.28741455078124,113.28741455078124,113.28741455078124,113.28741455078124,54000,0.0,0.0
15,15.0,15.0,15.0,15.0,15.0,2017-10-31 00:00:00+05:30,118.92636108398438,118.92636108398438,118.92636108398438,118.92636108398438,21000,0.0,0.0
16,16.0,16.0,16.0,16.0,16.0,2017-11-01 00:00:00+05:30,124.84264373779295,124.84264373779295,124.84264373779295,124.84264373779295,36000,0.0,0.0
17,17.0,17.0,17.0,17.0,17.0,2017-11-02 00:00:00+05:30,131.08245849609375,131.08245849609375,131.08245849609375,131.08245849609375,27000,0.0,0.0
18,18.0,18.0,18.0,18.0,18.0,2017-11-03 00:00:00+05:30,136.81386369335053,137.59962463378906,125.720847718214,137.59962463378906,690000,0.0,0.0
19,19.0,19.0,19.0,19.0,19.0,2017-11-06 00:00:00+05:30,137.73826920560552,137.73826920560552,130.7589111328125,130.7589111328125,108000,0.0,0.0
20,20.0,20.0,20.0,20.0,20.0,2017-11-07 00:00:00+05:30,125.72084225794666,128.95630511017322,124.24176788330078,124.24176788330078,144000,0.0,0.0
21,21.0,21.0,21.0,21.0,21.0,2017-11-08 00:00:00+05:30,123.87200456507064,130.34293017667883,120.17433278700884,125.72084045410156,186000,0.0,0.0
22,22.0,22.0,22.0,22.0,22.0,2017-11-09 00:00:00+05:30,125.81328702129034,125.81328702129034,119.43479478491471,122.67025756835938,54000,0.0,0.0
23,23.0,23.0,23.0,23.0,23.0,2017-11-10 00:00:00+05:30,122.2080459338764,123.9182247243109,119.24991141748792,121.09874725341795,45000,0.0,0.0
