,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
0,0.0,0.0,0.0,0.0,0.0,0.0,2005-05-09 00:00:00+05:30,3.6043651219790953,6.852666634537997,3.6043651219790953,6.2967071533203125,139981440,0.0,0.0
1,1.0,1.0,1.0,1.0,1.0,1.0,2005-05-10 00:00:00+05:30,6.605921982412206,7.558549404144286,6.443506733392728,7.558549404144287,51187000,0.0,0.0
2,2.0,2.0,2.0,2.0,2.0,2.0,2005-05-11 00:00:00+05:30,8.920335728837527,8.920335728837527,6.081195159771246,6.243610382080078,149920000,0.0,0.0
3,3.0,3.0,3.0,3.0,3.0,3.0,2005-05-12 00:00:00+05:30,6.281091734758028,7.492957966478303,5.759489379815494,7.36802339553833,195413000,0.0,0.0
4,4.0,4.0,4.0,4.0,4.0,4.0,2005-05-13 00:00:00+05:30,7.74594883917988,8.102013032518323,7.233716913401453,7.605397701263428,197936000,0.0,0.0
5,5.0,5.0,5.0,5.0,5.0,5.0,2005-05-16 00:00:00+05:30,7.62101429022059,7.683481859738872,7.196236842994913,7.5429301261901855,69438000,0.0,0.0
6,6.0,6.0,6.0,6.0,6.0,6.0,2005-05-17 00:00:00+05:30,7.521068124843403,7.708470274272949,7.314925939191404,7.477341175079346,53610000,0.0,0.0
7,7.0,7.0,7.0,7.0,7.0,7.0,2005-05-18 00:00:00+05:30,7.352406814633564,7.455477910365109,6.746473399499776,6.893271446228027,43748150,0.0,0.0
8,8.0,8.0,8.0,8.0,8.0,8.0,2005-05-19 00:00:00+05:30,7.0213276746535564,7.308677413439336,6.818308973450912,6.921380043029785,29054000,0.0,0.0
9,9.0,9.0,9.0,9.0,9.0,9.0,2005-05-20 00:00:00+05:30,6.665263640076478,7.183742391078112,6.665263640076478,6.983847141265869,37897000,0.0,0.0
10,10.0,10.0,10.0,10.0,10.0,10.0,2005-05-23 00:00:00+05:30,6.996340471687995,7.115028726036891,6.808938372429374,6.883899688720703,10753000,0.0,0.0
11,11.0,11.0,11.0,11.0,11.0,11.0,2005-05-24 00:00:00+05:30,6.965108316474469,6.996342106270653,6.684005399778793,6.733979225158691,7317000,0.0,0.0
12,12.0,12.0,12.0,12.0,12.0,12.0,2005-05-25 00:00:00+05:30,6.765211621538168,6.765211621538168,6.249856281120277,6.340433597564697,11762000,0.0,0.0
13,13.0,13.0,13.0,13.0,13.0,13.0,2005-05-26 00:00:00+05:30,6.459122431227491,6.9963412891886945,6.1530326375891855,6.740225315093994,67015000,0.0,0.0
14,14.0,14.0,14.0,14.0,14.0,14.0,2005-05-27 00:00:00+05:30,6.777706029354229,6.933874365553773,6.434135570568244,6.505972862243652,22139020,0.0,0.0
15,15.0,15.0,15.0,15.0,15.0,15.0,2005-05-30 00:00:00+05:30,6.534083210418365,6.718361894792622,6.421641817719516,6.505972862243652,20243000,0.0,0.0
16,16.0,16.0,16.0,16.0,16.0,16.0,2005-05-31 00:00:00+05:30,6.540330592131619,6.590304415917528,6.409149155759869,6.462246417999268,10111000,0.0,0.0
17,17.0,17.0,17.0,17.0,17.0,17.0,2005-06-01 00:00:00+05:30,6.484109158580548,7.083795571967619,6.452875373310772,6.924503803253174,37182000,0.0,0.0
18,18.0,18.0,18.0,18.0,18.0,18.0,2005-06-02 00:00:00+05:30,6.996343129008366,7.165005261122093,6.933876136019454,7.027576923370361,20351000,0.0,0.0
19,19.0,19.0,19.0,19.0,19.0,19.0,2005-06-03 00:00:00+05:30,7.027574192246915,7.733455049267453,6.949490034555283,7.586657047271728,36850500,0.0,0.0
20,20.0,20.0,20.0,20.0,20.0,20.0,2005-06-06 00:00:00+05:30,8.139494527074104,8.554902329141107,7.9645861356077345,8.264429092407227,48230000,0.0,0.0
21,21.0,21.0,21.0,21.0,21.0,21.0,2005-06-07 00:00:00+05:30,8.120752997554375,9.120230527855025,8.120752997554375,8.954691886901855,68752000,0.0,0.0
22,22.0,22.0,22.0,22.0,22.0,22.0,2005-06-08 00:00:00+05:30,9.05776269607498,9.929182220719069,9.05776269607498,9.651202201843262,63307000,0.0,0.0
23,23.0,23.0,23.0,23.0,23.0,23.0,2005-06-09 00:00:00+05:30,9.682438580024789,9.901074528190328,9.07962859891854,9.160836219787598,44792000,0.0,0.0
24,24.0,24.0,24.0,24.0,24.0,24.0,2005-06-10 00:00:00+05:30,9.238919744692282,9.33574395679932,8.714193983008341,8.78290843963623,25841000,0.0,0.0
25,25.0,25.0,25.0,25.0,25.0,25.0,2005-06-13 00:00:00+05:30,8.820389709903736,9.651205413608338,8.536163316306641,9.569997787475586,46494510,0.0,0.0
26,26.0,26.0,26.0,26.0,26.0,26.0,2005-06-14 00:00:00+05:30,9.676190636098545,10.050994907152049,9.15458833334548,9.404458045959473,65673000,0.0,0.0
27,27.0,27.0,27.0,27.0,27.0,27.0,2005-06-15 00:00:00+05:30,9.332619621500914,9.45755476855237,8.832881416234816,8.89847183227539,22399000,0.0,0.0
28,28.0,28.0,28.0,28.0,28.0,28.0,2005-06-16 00:00:00+05:30,8.976556088733783,9.451307984094909,8.814140872573146,9.151464462280272,34404000,0.0,0.0
29,29.0,29.0,29.0,29.0,29.0,29.0,2005-06-17 00:00:00+05:30,9.213933978047807,9.676192217698874,9.007791773994356,9.466926574707031,43039000,0.0,0.0
30,30.0,30.0,30.0,30.0,30.0,30.0,2005-06-20 00:00:00+05:30,9.932306736059155,11.012991422787564,9.310756779907017,9.55125617980957,21451000,0.0,0.0
31,31.0,31.0,31.0,31.0,31.0,31.0,2005-06-21 00:00:00+05:30,9.551253949707608,9.619967792606642,9.251411076255634,9.35760498046875,10035000,0.0,0.0
32,32.0,32.0,32.0,32.0,32.0,32.0,2005-06-22 00:00:00+05:30,9.432566175955197,9.563747580374582,9.245164084536816,9.304508209228516,5973000,0.0,0.0
33,33.0,33.0,33.0,33.0,33.0,33.0,2005-06-23 00:00:00+05:30,9.232672878236883,9.354484598883587,9.07962796352512,9.1233549118042,5842000,0.0,0.0
34,34.0,34.0,34.0,34.0,34.0,34.0,2005-06-24 00:00:00+05:30,9.176451681302911,9.46067861700732,8.876608745142374,9.270153045654297,7806000,0.0,0.0
35,35.0,35.0,35.0,35.0,35.0,35.0,2005-06-27 00:00:00+05:30,9.182697745882988,9.644955862778868,9.182697745882988,9.310755729675291,7288000,0.0,0.0
36,36.0,36.0,36.0,36.0,36.0,36.0,2005-06-28 00:00:00+05:30,9.307634056462014,9.413828589362998,8.817265499337774,8.910966873168945,3407000,0.0,0.0
37,37.0,37.0,37.0,37.0,37.0,37.0,2005-06-29 00:00:00+05:30,8.995295077080888,9.045268892285293,8.632984618981524,8.761042594909668,3123000,0.0,0.0
38,38.0,38.0,38.0,38.0,38.0,38.0,2005-06-30 00:00:00+05:30,8.832880937596398,9.207684571236015,8.679836046060025,8.982802391052246,4616000,0.0,0.0
39,39.0,39.0,39.0,39.0,39.0,39.0,2005-07-01 00:00:00+05:30,8.98904799034453,9.051514955877094,8.857866588270884,8.926580429077148,1677800,0.0,0.0
40,40.0,40.0,40.0,40.0,40.0,40.0,2005-07-04 00:00:00+05:30,9.001544495598049,9.057765202517489,8.904720275756258,8.948447227478027,1372000,0.0,0.0
41,41.0,41.0,41.0,41.0,41.0,41.0,2005-07-05 00:00:00+05:30,8.870363124807863,9.039025247089404,8.251936534578968,8.376871109008789,2182000,0.0,0.0
42,42.0,42.0,42.0,42.0,42.0,42.0,2005-07-06 00:00:00+05:30,8.245686233780983,8.49555587464392,8.120751711216913,8.389361381530762,1700000,0.0,0.0
43,43.0,43.0,43.0,43.0,43.0,43.0,2005-07-07 00:00:00+05:30,8.433089758434548,8.558024302375488,8.245687644655689,8.305031776428223,1022000,0.0,0.0
44,44.0,44.0,44.0,44.0,44.0,44.0,2005-07-08 00:00:00+05:30,8.0051875469414,8.37062142705662,7.808415732603131,8.00206470489502,200000,0.0,0.0
45,45.0,45.0,45.0,45.0,45.0,45.0,2005-07-11 00:00:00+05:30,7.870884256950429,8.870361235211888,7.870884256950429,8.67983627319336,501000,0.0,0.0
46,46.0,46.0,46.0,46.0,46.0,46.0,2005-07-12 00:00:00+05:30,8.30815656513526,9.682437963369775,8.30815656513526,9.004667282104492,1501500,0.0,0.0
47,47.0,47.0,47.0,47.0,47.0,47.0,2005-07-13 00:00:00+05:30,9.12023219357301,9.12023219357301,8.74855134091851,8.792278289794922,107000,0.0,0.0
48,48.0,48.0,48.0,48.0,48.0,48.0,2005-07-14 00:00:00+05:30,8.748549635235253,8.99529527887547,8.620491656434341,8.701699256896973,102000,0.0,0.0
49,49.0,49.0,49.0,49.0,49.0,49.0,2005-07-15 00:00:00+05:30,8.245689012032146,9.495035850089591,8.245689012032146,9.36385440826416,836000,0.0,0.0
50,50.0,50.0,50.0,50.0,50.0,50.0,2005-07-18 00:00:00+05:30,9.188944778112033,9.869838808315276,8.932828806179048,9.370100021362305,1087000,0.0,0.0
51,51.0,51.0,51.0,51.0,51.0,51.0,2005-07-19 00:00:00+05:30,9.370103503927076,9.370103503927076,9.05776672046284,9.10461711883545,173000,0.0,0.0
52,52.0,52.0,52.0,52.0,52.0,52.0,2005-07-20 00:00:00+05:30,9.270152782108225,9.370100424653607,9.05776374383182,9.095244407653809,121000,0.0,0.0
