,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
0,0.0,0.0,0.0,0.0,0.0,2018-01-18 00:00:00+05:30,62.41963195800781,62.41963195800781,62.41963195800781,62.41963195800781,240240,0.0,0.0
1,1.0,1.0,1.0,1.0,1.0,2018-01-19 00:00:00+05:30,65.17217339873064,67.1878035771982,58.51841038868095,61.46600341796875,2143680,0.0,0.0
2,2.0,2.0,2.0,2.0,2.0,2018-01-22 00:00:00+05:30,61.899469886230584,73.75487135231461,61.899469886230584,71.71755981445312,1230240,0.0,0.0
3,3.0,3.0,3.0,3.0,3.0,2018-01-23 00:00:00+05:30,73.68985020497345,80.75540372140131,71.73923521774078,76.0089111328125,491040,0.0,0.0
4,4.0,4.0,4.0,4.0,4.0,2018-01-24 00:00:00+05:30,82.03414510777827,82.03414510777827,72.84458308237394,76.07393646240234,76560,0.0,0.0
5,5.0,5.0,5.0,5.0,5.0,2018-01-25 00:00:00+05:30,76.89751775328179,80.19189326673012,76.70245772056157,77.50437927246094,153120,0.0,0.0
6,6.0,6.0,6.0,6.0,6.0,2018-01-29 00:00:00+05:30,76.76748176919723,77.59107020812546,71.32743850591287,71.86927032470703,153120,0.0,0.0
7,7.0,7.0,7.0,7.0,7.0,2018-01-30 00:00:00+05:30,71.86927257917982,72.60617173355212,67.75131570407262,69.78861999511719,108240,0.0,0.0
8,8.0,8.0,8.0,8.0,8.0,2018-01-31 00:00:00+05:30,70.22209080744172,70.22209080744172,66.79768467502143,69.31180572509766,55440,0.0,0.0
9,9.0,9.0,9.0,9.0,9.0,2018-02-01 00:00:00+05:30,68.05473598702469,68.46653747558594,66.75433091182136,68.46653747558594,55440,0.0,0.0
10,10.0,10.0,10.0,10.0,10.0,2018-02-02 00:00:00+05:30,64.69535225111206,65.49726652748826,59.81881505414485,61.09755325317383,145200,0.0,0.0
11,11.0,11.0,11.0,11.0,11.0,2018-02-05 00:00:00+05:30,60.25228767979762,64.15351771380749,60.25228767979762,64.13184356689453,26400,0.0,0.0
12,12.0,12.0,12.0,12.0,12.0,2018-02-06 00:00:00+05:30,61.98616957549365,62.63637216719347,59.255310687144586,61.140899658203125,42240,0.0,0.0
13,13.0,13.0,13.0,13.0,13.0,2018-02-07 00:00:00+05:30,62.853105277255814,67.18780369823452,62.853105277255814,64.13184356689453,31680,0.0,0.0
14,14.0,14.0,14.0,14.0,14.0,2018-02-08 00:00:00+05:30,65.23718528735057,68.48821257177676,65.23718528735057,66.53759765625,44880,0.0,0.0
15,15.0,15.0,15.0,15.0,15.0,2018-02-09 00:00:00+05:30,64.15351313931679,65.23718402946731,63.416614023756566,64.73869323730469,39600,0.0,0.0
16,16.0,16.0,16.0,16.0,16.0,2018-02-12 00:00:00+05:30,72.73621518626959,72.73621518626959,66.53759857300787,67.44788360595703,31680,0.0,0.0
17,17.0,17.0,17.0,17.0,17.0,2018-02-14 00:00:00+05:30,68.20645021384541,71.52249238099671,68.20645021384541,70.65555572509766,155760,0.0,0.0
18,18.0,18.0,18.0,18.0,18.0,2018-02-15 00:00:00+05:30,69.13842010498047,69.13842010498047,69.13842010498047,69.13842010498047,2640,0.0,0.0
19,19.0,19.0,19.0,19.0,19.0,2018-02-16 00:00:00+05:30,67.62127094208253,67.62127094208253,66.10413161333845,66.94939422607422,21120,0.0,0.0
